t,s,w
t334,0,0.227
t335,0,0.203
t336,0,0.147
t337,0.072,0.095
t338,0.253,0.084
t339,0.427,0.164
t340,0.524,0.18
t341,0.546,0.164
t342,0.521,0.147
t343,0.461,0.145
t344,0.354,0.133
t345,0.2,0.106
t346,0.05,0.083
t347,0,0.057
t348,0,0.041
t349,0,0.037
t350,0,0.025
t351,0,0.012
t352,0,0.003
t353,0,0
t354,0,0
t355,0,0
t356,0,0
t357,0,0
t358,0,0.001
t359,0,0
t360,0,0
t361,0.158,0
t362,0.422,0
t363,0.62,0.023
t364,0.744,0.058
t365,0.796,0.074
t366,0.787,0.093
t367,0.708,0.107
t368,0.571,0.101
t369,0.36,0.08
t370,0.104,0.073
t371,0,0.051
t372,0,0.025
t373,0,0.019
t374,0,0.023
t375,0,0.029
t376,0,0.025
t377,0,0.012
t378,0,0.004
t379,0,0.002
t380,0,0.001
t381,0,0
t382,0,0
t383,0,0.001
t384,0,0.002
t385,0.058,0.002
t386,0.205,0.001
t387,0.413,0.005
t388,0.594,0.016
t389,0.684,0.014
t390,0.688,0.016
t391,0.607,0.018
t392,0.444,0.011
t393,0.237,0.011
t394,0.056,0.008
t395,0,0.003
t396,0,0.001
t397,0,0.001
t398,0,0.001
t399,0,0.002
t400,0,0.004
t401,0,0.006
t402,0,0.011
t403,0,0.019
t404,0,0.036
t405,0,0.061
t406,0,0.082
t407,0,0.098
t408,0,0.114
t409,0.042,0.106
t410,0.193,0.059
t411,0.412,0.038
t412,0.496,0.029
t413,0.603,0.022
t414,0.61,0.02
t415,0.544,0.021
t416,0.434,0.027
t417,0.267,0.041
t418,0.069,0.058
t419,0,0.036
t420,0,0.013
t421,0,0.01
t422,0,0.011
t423,0,0.009
t424,0,0.005
t425,0,0.003
t426,0,0.003
t427,0,0.003
t428,0,0.004
t429,0,0.003
t430,0,0.003
t431,0,0.003
t432,0,0.003
t433,0.111,0.003
t434,0.348,0
t435,0.563,0
t436,0.705,0
t437,0.768,0
t438,0.755,0.001
t439,0.664,0.005
t440,0.504,0.017
t441,0.297,0.034
t442,0.078,0.052
t443,0,0.047
t444,0,0.033
t445,0,0.014
t446,0,0.006
t447,0,0.004
t448,0,0.005
t449,0,0.011
t450,0,0.02
t451,0,0.023
t452,0,0.02
t453,0,0.012
t454,0,0.007
t455,0,0.007
t456,0,0.018
t457,0.084,0.044
t458,0.272,0.056
t459,0.445,0.188
t460,0.578,0.216
t461,0.63,0.167
t462,0.62,0.143
t463,0.553,0.143
t464,0.413,0.163
t465,0.234,0.178
t466,0.063,0.16
t467,0,0.162
t468,0,0.17
t469,0,0.149
t470,0,0.122
t471,0,0.097
t472,0,0.062
t473,0,0.026
t474,0,0.009
t475,0,0.004
t476,0,0.002
t477,0,0.002
t478,0,0.002
t479,0,0.002
t480,0,0.002
t481,0.129,0.002
t482,0.344,0.003
t483,0.505,0.016
t484,0.654,0.003
t485,0.765,0
t486,0.777,0
t487,0.689,0.001
t488,0.542,0.006
t489,0.341,0.004
t490,0.11,0.004
t491,0,0.005
t492,0,0.011
t493,0,0.035
t494,0,0.071
t495,0,0.085
t496,0,0.073
t497,0,0.056
t498,0,0.035
t499,0,0.02
t500,0,0.009
t501,0,0.004
t502,0,0.003
t503,0,0.002
t504,0,0.003
t505,0.155,0.007
t506,0.404,0.004
t507,0.601,0.03
t508,0.749,0.084
t509,0.799,0.092
t510,0.789,0.096
t511,0.677,0.081
t512,0.527,0.058
t513,0.313,0.043
t514,0.084,0.039
t515,0,0.018
t516,0,0.004
t517,0,0.001
t518,0,0
t519,0,0
t520,0,0
