City,Province,Ycase,Scase,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,TotalTransportCost_mUSD
Baotou ,Inner Mongolia,YCurrent,S2,84.85214439,117.9476397,1.03E-11,65.10678938,0,25.19216867,1.14513782,5.98E-05,29.27691542,11.2395741,65.73454482,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,30.90395278
Baotou ,Inner Mongolia,YCurrent,S3,54.0031747,75.6813035,-7.02E-12,41.48591786,0,16.79477911,0.917395197,4.51E-05,29.29933288,11.25088577,45.05210771,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,20.60263519
Baotou ,Inner Mongolia,Y2030,S1,137.1481623,82.25858679,-3.07E-12,71.75051493,0,33.58955823,1.372880442,9.96E-05,29.44894807,11.32638041,72.04460953,235.2340426,0,0,6.05,26.367,10.79,73.40276596,41.20527038
Baotou ,Inner Mongolia,Y2030,S2,97.62021886,60.14178864,-1.79E-12,51.20478051,0,25.19216867,1.14513782,7.52E-05,29.45836503,11.33113213,54.2145664,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,30.90395278
Baotou ,Inner Mongolia,Y2030,S3,61.32336257,39.85218735,-5.69E-12,32.36322278,0,16.79477911,0.917395197,5.33E-05,29.47520213,11.339628,37.7146127,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,20.60263519
Baotou ,Inner Mongolia,Y2040,S1,142.1963875,38.45667218,1.22E-12,69.36518579,0,33.58955823,1.372880442,0.000121841,29.75840527,11.48253006,64.05786287,235.2340426,0,0,6.05,26.367,10.79,73.40276596,41.20527038
Baotou ,Inner Mongolia,Y2040,S2,99.61507661,31.02226539,-5.86E-12,48.88125535,0,25.19216867,1.14513782,9.08E-05,29.72073446,11.46352166,48.50955195,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,30.90395278
Baotou ,Inner Mongolia,Y2040,S3,61.17232901,23.35242963,2.44E-12,30.2920224,0,16.79477911,0.917395197,6.15E-05,29.67994188,11.44293805,34.0987984,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,20.60263519
Baotou ,Inner Mongolia,Y2050,S1,125.3523568,14.01781772,2.76E-12,62.08563025,0,33.58955823,1.372880442,0.000150534,30.48612614,11.84973222,54.73700679,235.2340426,0,0,6.05,26.367,10.79,73.40276596,41.20527038
Baotou ,Inner Mongolia,Y2050,S2,88.55243732,12.25622346,-3.58E-12,44.04016392,0,25.19216867,1.14513782,0.000122603,30.32569502,11.76877995,41.88043268,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,30.90395278
Baotou ,Inner Mongolia,Y2050,S3,55.22453366,10.01314189,-4.04E-12,27.5909362,0,16.79477911,0.917395197,7.57E-05,30.17559181,11.69303907,29.9275773,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,20.60263519
Changzhi,Shanxi ,YCurrent,S1,124.0842717,188.7431076,0,90.87544736,0,33.58955823,1.372880442,6.80E-05,29.37955734,11.2913664,94.12388059,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Changzhi,Shanxi ,YCurrent,S2,88.95157492,135.6300444,0,65.13931192,0,25.19216867,1.14513782,5.12E-05,29.38804739,11.29565041,70.05090823,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
Changzhi,Shanxi ,YCurrent,S3,56.78748708,86.73983429,-1.51E-12,41.58161088,0,16.79477911,0.917395197,3.94E-05,29.40656919,11.30499636,47.8208012,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Changzhi,Shanxi ,Y2030,S1,117.8431876,139.6460688,0,62.39428662,0,33.58955823,1.372880442,7.34E-05,29.42432722,11.31395692,77.6781071,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Changzhi,Shanxi ,Y2030,S2,84.03866776,100.9326448,0,44.60690943,0,25.19216867,1.14513782,5.40E-05,29.43290539,11.3182854,58.2543622,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
Changzhi,Shanxi ,Y2030,S3,53.51124295,64.77052046,0,28.41371737,0,16.79477911,0.917395197,3.50E-05,29.45035521,11.32709044,40.29075818,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Changzhi,Shanxi ,Y2040,S1,118.5583321,101.755165,0,58.01296123,0,33.58955823,1.372880442,8.77E-05,29.48807085,11.34612146,69.53667103,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Changzhi,Shanxi ,Y2040,S2,84.52533211,73.79279807,0,41.44340832,0,25.19216867,1.14513782,6.72E-05,29.49762127,11.35094052,52.418593,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
Changzhi,Shanxi ,Y2040,S3,53.54239876,47.78421421,0,26.32842981,0,16.79477911,0.917395197,4.97E-05,29.51818393,11.36131628,36.57196425,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Changzhi,Shanxi ,Y2050,S1,140.5878566,22.13884436,-1.29E-11,64.68025625,0,33.58955823,1.372880442,0.000128615,30.21268801,11.71175752,59.75206106,235.2340426,0,0,6.05,26.367,10.79,73.40276596,32.94744915
Changzhi,Shanxi ,Y2050,S2,98.96947961,18.72830462,-6.94E-12,45.68280194,0,25.19216867,1.14513782,9.21E-05,30.11779012,11.6638728,45.45795331,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,24.71058686
Changzhi,Shanxi ,Y2050,S3,60.89302706,15.38888687,0,28.33101114,0,16.79477911,0.917395197,6.25E-05,30.00364715,11.60627716,32.19077683,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,16.47372458
Dalian,Liaoning ,YCurrent,S1,3.165032054,209.7561641,-4.38E-11,96.49962639,0,33.58955823,1.372880442,8.62E-05,29.42617677,11.31489019,75.6241654,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
Dalian,Liaoning ,YCurrent,S2,2.720635768,150.1946814,-2.20E-11,69.15735985,0,25.19216867,1.14513782,7.02E-05,29.42582721,11.31471381,56.77846324,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,2.342161223
Dalian,Liaoning ,YCurrent,S3,2.491685467,95.44654375,-2.90E-11,43.9777358,0,16.79477911,0.917395197,5.28E-05,29.42350198,11.31354052,39.34430817,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,1.561440815
Dalian,Liaoning ,Y2030,S1,4.315044937,180.1108485,-1.47E-11,61.71416017,0,33.58955823,1.372880442,8.40E-05,29.40410409,11.30375249,63.19164533,235.2340426,0,0,6.05,26.367,10.79,73.40276596,3.122881631
