City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Land_Use,YCurrent_S2_Land_Use,YCurrent_S3_Land_Use,Y2030_S1_Land_Use,Y2030_S2_Land_Use,Y2030_S3_Land_Use,Y2040_S1_Land_Use,Y2040_S2_Land_Use,Y2040_S3_Land_Use,Y2050_S1_Land_Use,Y2050_S2_Land_Use,Y2050_S3_Land_Use
Urumqi,Xinjiang ,79.39484437,79.66890925,80.2037399,61.96211965,62.25641868,62.81027131,55.46466533,55.76752261,56.35771043,46.67653999,47.00572358,47.60382918,96.81320469,72.29183918,49.30268992,91.72491891,68.26241545,46.6558338,87.9745591,65.5791915,44.94060079,84.5407436,63.16314846,43.18832176
Wuhai,Inner Mongolia,58.82407868,58.81912129,58.81223921,49.44921549,49.44061737,49.43238008,45.53536214,45.53593431,45.5347681,40.88289673,40.86575317,40.8380587,229.28603,164.5604802,105.1669158,207.7680198,149.1861306,95.39238387,191.148807,137.4303873,87.84615705,146.7725204,106.3608682,68.65980868
Xingtai,Hebei,69.76997843,69.75663788,69.74680014,58.53018993,58.52404014,58.53654191,53.84574075,53.83771194,53.82900009,48.05798785,48.04465444,48.0133622,257.2307001,184.7305078,118.1482756,235.9769039,169.4550912,108.364565,217.9135126,156.4846654,100.1656974,157.5390206,114.6263386,74.36285285
Zhangjiagang,Jiangsu ,65.5270858,65.5222116,65.50250936,56.12833366,56.12500259,56.10994513,52.13895548,52.13740005,52.12180688,46.77934784,46.77651689,46.76254298,292.3005405,209.7865161,134.1195581,258.1396549,185.2741306,118.4778851,230.5400551,165.4851308,105.8759347,200.6073049,143.99125,92.15881292
Zhangjiakou,Hebei,66.08341155,66.08101138,66.07372978,55.72454773,55.72156229,55.699936,50.90132118,50.86916199,50.80242864,43.18620798,43.25126755,43.34101484,236.1368446,169.4856301,108.4382412,161.3834982,116.8810437,75.56647429,115.8193727,86.20434725,58.340847,85.32751396,63.98494743,43.75701379
Zhanjiang,Guangdong ,67.42169931,67.41674968,67.40682936,57.58294087,57.5795664,57.57072459,53.2950751,53.30481835,53.29898546,47.82538571,47.82473871,47.81710858,291.4644934,209.1864795,133.6723222,259.4478124,186.2130428,119.1388165,235.4795283,169.1171324,108.1250777,201.2246847,144.5052255,92.47117887
Jiuquan,Gansu,72.95800707,73.10768845,73.31694325,56.87544876,57.0283741,57.29964624,50.87282812,51.01471382,51.32392244,42.72683585,42.92112942,43.26051299,94.32483909,70.52824138,48.41785974,84.60580354,62.91279701,42.76920188,80.60057711,59.60208673,40.73797995,76.53437574,56.69933851,38.47858519
Fuzhou,Fujian,68.83221241,68.82724739,68.81630544,58.43574371,58.43517322,58.43973476,54.12546239,54.1223207,54.1121602,48.39619262,48.39194153,48.37447681,294.4294651,211.3144614,135.2281399,263.4643041,189.1214283,120.9234368,237.8288301,170.7022431,109.1526867,193.0542907,138.6594244,89.05687883
Xiangyang,Hubei,85.28815082,85.28599281,85.25858348,69.8602401,69.91530123,70.01661973,62.47402089,62.55568819,62.70076181,52.38459092,52.50657712,52.72045843,272.0284019,195.5983367,125.3173317,138.6025802,104.1752671,71.35487294,111.8654921,84.28767037,57.69842184,98.61743293,73.2723923,49.82827831
Xianning,Hubei,89.63697118,89.62391442,89.61061474,72.60324347,72.70521481,72.89335389,64.88318771,65.00901324,65.21813058,54.44763615,54.58526366,54.76127774,275.0104329,197.777571,126.6454464,127.3501491,95.75181992,65.96212312,111.8997472,83.60571522,57.47705745,102.3435324,75.88698277,50.77507656
