t,s,w
t329,0,0.812
t330,0,0.809
t331,0,0.79
t332,0,0.762
t333,0,0.703
t334,0,0.601
t335,0,0.5
t336,0.002,0.41
t337,0.332,0.308
t338,0.599,0.436
t339,0.77,0.397
t340,0.863,0.289
t341,0.883,0.235
t342,0.836,0.233
t343,0.719,0.227
t344,0.52,0.203
t345,0.22,0.169
t346,0,0.168
t347,0,0.201
t348,0,0.236
t349,0,0.25
t350,0,0.236
t351,0,0.22
t352,0,0.222
t353,0,0.225
t354,0,0.231
t355,0,0.245
t356,0,0.271
t357,0,0.302
t358,0,0.302
t359,0,0.287
t360,0.002,0.286
t361,0.315,0.228
t362,0.58,0.1
t363,0.747,0.121
t364,0.833,0.176
t365,0.851,0.186
t366,0.805,0.183
t367,0.691,0.171
t368,0.499,0.157
t369,0.205,0.157
t370,0,0.251
t371,0,0.401
t372,0,0.523
t373,0,0.59
t374,0,0.594
t375,0,0.552
t376,0,0.499
t377,0,0.457
t378,0,0.437
t379,0,0.433
t380,0,0.426
t381,0,0.404
t382,0,0.371
t383,0,0.337
t384,0.003,0.297
t385,0.325,0.195
t386,0.583,0.046
t387,0.746,0.026
t388,0.828,0.042
t389,0.841,0.071
t390,0.79,0.114
t391,0.606,0.147
t392,0.358,0.157
t393,0.138,0.113
t394,0,0.083
t395,0,0.082
t396,0,0.103
t397,0,0.219
t398,0,0.166
t399,0,0.171
t400,0,0.185
t401,0,0.223
t402,0,0.23
t403,0,0.201
t404,0,0.167
t405,0,0.135
t406,0,0.101
t407,0,0.081
t408,0,0.062
t409,0.033,0.051
t410,0.107,0.025
t411,0.192,0.014
t412,0.269,0.032
t413,0.322,0.047
t414,0.321,0.055
t415,0.269,0.07
t416,0.163,0.094
t417,0.07,0.114
t418,0,0.176
t419,0,0.305
t420,0,0.432
t421,0,0.471
t422,0,0.407
t423,0,0.307
t424,0,0.231
t425,0,0.182
t426,0,0.164
t427,0,0.17
t428,0,0.177
t429,0,0.171
t430,0,0.164
t431,0,0.183
t432,0,0.164
t433,0.054,0.082
t434,0.15,0.102
t435,0.255,0.135
t436,0.324,0.093
t437,0.337,0.057
t438,0.296,0.042
t439,0.23,0.044
t440,0.133,0.059
t441,0.036,0.08
t442,0,0.131
t443,0,0.251
t444,0,0.393
t445,0,0.454
t446,0,0.464
t447,0,0.447
t448,0,0.448
t449,0,0.464
t450,0,0.414
t451,0,0.374
t452,0,0.341
t453,0,0.305
t454,0,0.264
t455,0,0.25
t456,0.004,0.264
t457,0.34,0.223
t458,0.589,0.287
t459,0.749,0.447
t460,0.835,0.422
t461,0.852,0.447
t462,0.804,0.504
t463,0.691,0.561
t464,0.501,0.613
t465,0.218,0.599
t466,0,0.617
t467,0,0.655
t468,0,0.651
t469,0,0.644
t470,0,0.638
t471,0,0.648
t472,0,0.69
t473,0,0.695
t474,0,0.674
t475,0,0.645
t476,0,0.615
t477,0,0.59
t478,0,0.539
t479,0,0.498
t480,0.006,0.471
t481,0.33,0.323
t482,0.58,0.171
t483,0.739,0.247
t484,0.821,0.311
t485,0.837,0.391
t486,0.79,0.449
t487,0.678,0.496
t488,0.49,0.547
t489,0.211,0.586
t490,0,0.65
t491,0,0.657
t492,0,0.626
t493,0,0.592
t494,0,0.561
t495,0,0.532
t496,0,0.547
t497,0,0.578
t498,0,0.593
t499,0,0.599
t500,0,0.602
t501,0,0.599
t502,0,0.559
t503,0,0.53
t504,0.005,0.531
t505,0.29,0.425
t506,0.558,0.221
t507,0.726,0.22
t508,0.807,0.39
t509,0.822,0.436
t510,0.776,0.447
t511,0.668,0.447
t512,0.485,0.424
t513,0.212,0.404
t514,0,0.434
t515,0,0.441
t516,0,0.428
t517,0,0.399
t518,0,0.354
t519,0,0.291
t520,0,0.245
t521,0,0.209
t522,0,0.169
t523,0,0.13
t524,0,0.099
t525,0,0.067
t526,0,0.04
t527,0,0.018
t528,0.006,0.004
t529,0.295,0.001
t530,0.551,0
t531,0.717,0
t532,0.805,0
t533,0.82,0.002
t534,0.772,0.009
t535,0.661,0.012
t536,0.474,0.005
t537,0.201,0.002
t538,0.001,0.004
t539,0,0.014
t540,0,0.047
t541,0,0.099
t542,0,0.137
t543,0,0.148
t544,0,0.161
t545,0,0.156
t546,0,0.131
t547,0,0.103
t548,0,0.077
t549,0,0.057
t550,0,0.046
t551,0,0.042
t552,0.002,0.046
t553,0.174,0.065
t554,0.455,0.072
t555,0.634,0.065
t556,0.707,0.082
t557,0.712,0.094
t558,0.609,0.124
t559,0.425,0.181
t560,0.219,0.289
t561,0.064,0.43
t562,0,0.59
t563,0,0.668
t564,0,0.677
t565,0,0.662
t566,0,0.621
t567,0,0.538
t568,0,0.452
t569,0,0.381
t570,0,0.367
t571,0,0.37
t572,0,0.376
t573,0,0.379
t574,0,0.328
t575,0,0.256
t576,0.004,0.201
t577,0.279,0.143
t578,0.555,0.21
t579,0.736,0.192
t580,0.826,0.141
t581,0.847,0.109
t582,0.804,0.101
t583,0.692,0.112
t584,0.504,0.136
t585,0.225,0.165
t586,0.002,0.199
t587,0,0.224
t588,0,0.221
t589,0,0.194
t590,0,0.144
t591,0,0.09
t592,0,0.054
t593,0,0.031
t594,0,0.016
t595,0,0.007
t596,0,0.002
t597,0,0.001
t598,0,0.001
t599,0,0.002
t600,0.005,0.005
t601,0.191,0.006
t602,0.4,0.003
t603,0.556,0.024
t604,0.671,0.211
t605,0.692,0.372
t606,0.637,0.457
t607,0.516,0.51
t608,0.324,0.457
t609,0.105,0.323
t610,0,0.261
t611,0,0.186
t612,0,0.158
t613,0,0.179
t614,0,0.241
t615,0,0.325
t616,0,0.398
t617,0,0.433
t618,0,0.419
t619,0,0.364
t620,0,0.331
t621,0,0.317
t622,0,0.311
t623,0,0.332
t624,0.002,0.371
t625,0.12,0.321
t626,0.381,0.289
t627,0.615,0.576
t628,0.7,0.766
t629,0.697,0.827
t630,0.656,0.851
t631,0.584,0.857
t632,0.463,0.84
t633,0.219,0.78
t634,0.004,0.698
t635,0,0.587
t636,0,0.471
t637,0,0.364
t638,0,0.274
t639,0,0.231
t640,0,0.253
t641,0,0.299
t642,0,0.323
t643,0,0.32
t644,0,0.306
t645,0,0.294
t646,0,0.272
t647,0,0.24
t648,0.017,0.199
t649,0.359,0.141
t650,0.599,0.05
t651,0.753,0.035
t652,0.832,0.051
t653,0.846,0.078
t654,0.799,0.114
t655,0.685,0.135
t656,0.5,0.139
t657,0.229,0.102
t658,0.005,0.084
t659,0,0.111
t660,0,0.155
t661,0,0.203
t662,0,0.251
t663,0,0.31
t664,0,0.382
t665,0,0.41
t666,0,0.402
t667,0,0.402
t668,0,0.442
t669,0,0.51
t670,0,0.488
t671,0,0.433
t672,0.01,0.41
t673,0.258,0.305
t674,0.469,0.126
t675,0.593,0.255
t676,0.651,0.367
t677,0.622,0.464
t678,0.559,0.58
t679,0.467,0.658
t680,0.323,0.661
t681,0.115,0.552
t682,0.001,0.47
t683,0,0.44
t684,0,0.4
t685,0,0.336
t686,0,0.3
t687,0,0.329
t688,0,0.398
t689,0,0.446
t690,0,0.483
t691,0,0.46
t692,0,0.407
t693,0,0.432
t694,0,0.47
t695,0,0.502
t696,0,0.461
t697,0.037,0.46
t698,0.119,0.478
t699,0.198,0.448
t700,0.23,0.374
t701,0.237,0.338
t702,0.222,0.334
t703,0.215,0.315
t704,0.218,0.302
t705,0.123,0.28
t706,0.002,0.246
t707,0,0.233
t708,0,0.263
t709,0,0.284
t710,0,0.251
t711,0,0.213
t712,0,0.186
t713,0,0.156
t714,0,0.112
t715,0,0.06
t716,0,0.032
t717,0,0.037
t718,0,0.053
t719,0,0.053
t720,0.002,0.041
t721,0.067,0.036
t722,0.208,0.12
