t,s,w
t337,0.242,0.965
t338,0.484,0.976
t339,0.647,0.958
t340,0.609,0.93
t341,0.454,0.906
t342,0.222,0.893
t343,0.142,0.88
t344,0.079,0.848
t345,0.014,0.807
t346,0,0.774
t347,0,0.758
t348,0,0.765
t349,0,0.763
t350,0,0.744
t351,0,0.705
t352,0,0.631
t353,0,0.494
t354,0,0.328
t355,0,0.205
t356,0,0.127
t357,0,0.078
t358,0,0.042
t359,0,0.013
t360,0.074,0.003
t361,0.388,0.001
t362,0.612,0.01
t363,0.75,0.025
t364,0.807,0.039
t365,0.805,0.056
t366,0.737,0.058
t367,0.59,0.047
t368,0.374,0.04
t369,0.1,0.035
t370,0,0.028
t371,0,0.035
t372,0,0.054
t373,0,0.087
t374,0,0.123
t375,0,0.154
t376,0,0.179
t377,0,0.198
t378,0,0.181
t379,0,0.153
t380,0,0.123
t381,0,0.096
t382,0,0.089
t383,0,0.076
t384,0.016,0.065
t385,0.091,0.042
t386,0.368,0.029
t387,0.692,0.026
t388,0.747,0.017
t389,0.752,0.019
t390,0.686,0.019
t391,0.54,0.013
t392,0.332,0.003
t393,0.081,0
t394,0,0
t395,0,0.003
t396,0,0.03
t397,0,0.07
t398,0,0.071
t399,0,0.066
t400,0,0.117
t401,0,0.148
t402,0,0.159
t403,0,0.158
t404,0,0.089
t405,0,0.039
t406,0,0.04
t407,0,0.077
t408,0.081,0.128
t409,0.28,0.128
t410,0.393,0.078
t411,0.34,0.122
t412,0.276,0.155
t413,0.196,0.123
t414,0.204,0.086
t415,0.152,0.058
t416,0.076,0.043
t417,0.018,0.038
t418,0,0.061
t419,0,0.114
t420,0,0.172
t421,0,0.211
t422,0,0.227
t423,0,0.216
t424,0,0.157
t425,0,0.077
t426,0,0.019
t427,0,0.001
t428,0,0
t429,0,0.008
t430,0,0.051
t431,0,0.123
t432,0.021,0.204
t433,0.123,0.227
t434,0.26,0.179
t435,0.394,0.148
t436,0.488,0.119
t437,0.504,0.11
t438,0.452,0.135
t439,0.348,0.188
t440,0.181,0.259
t441,0.035,0.4
t442,0,0.601
t443,0,0.744
t444,0,0.817
t445,0,0.828
t446,0,0.806
t447,0,0.784
t448,0,0.77
t449,0,0.757
t450,0,0.766
t451,0,0.777
t452,0,0.765
t453,0,0.742
t454,0,0.68
t455,0,0.593
t456,0.121,0.496
t457,0.389,0.379
t458,0.589,0.45
t459,0.716,0.358
t460,0.751,0.284
t461,0.75,0.236
t462,0.684,0.196
t463,0.512,0.162
t464,0.305,0.111
t465,0.072,0.079
t466,0,0.104
t467,0,0.141
t468,0,0.162
t469,0,0.186
t470,0,0.225
t471,0,0.248
t472,0,0.241
t473,0,0.204
t474,0,0.163
t475,0,0.147
t476,0,0.167
t477,0,0.213
t478,0,0.27
t479,0,0.315
t480,0.149,0.328
t481,0.409,0.249
t482,0.61,0.196
t483,0.732,0.264
t484,0.777,0.23
t485,0.774,0.225
t486,0.708,0.236
t487,0.558,0.245
t488,0.346,0.234
t489,0.089,0.259
t490,0,0.294
t491,0,0.328
t492,0,0.352
t493,0,0.345
t494,0,0.316
t495,0,0.272
t496,0,0.236
t497,0,0.201
t498,0,0.167
t499,0,0.148
t500,0,0.149
t501,0,0.162
t502,0,0.166
t503,0,0.156
t504,0.09,0.141
t505,0.331,0.095
t506,0.552,0.048
t507,0.692,0.068
t508,0.755,0.153
t509,0.754,0.205
t510,0.689,0.251
t511,0.554,0.274
t512,0.348,0.289
t513,0.094,0.361
t514,0,0.448
t515,0,0.494
t516,0,0.493
t517,0,0.467
t518,0,0.422
t519,0,0.352
t520,0,0.271
t521,0,0.195
t522,0,0.141
t523,0,0.108
t524,0,0.085
t525,0,0.067
t526,0,0.05
t527,0,0.041
t528,0.116,0.038
t529,0.362,0.033
t530,0.57,0.014
t531,0.699,0.004
t532,0.739,0.005
t533,0.737,0.006
t534,0.673,0.009
t535,0.499,0.01
t536,0.297,0.013
t537,0.071,0.019
t538,0,0.018
t539,0,0.009
t540,0,0.002
t541,0,0
t542,0,0
t543,0,0
t544,0,0
t545,0,0
t546,0,0
t547,0,0
t548,0,0
t549,0,0
t550,0,0
t551,0,0.001
t552,0.081,0.011
t553,0.291,0.026
t554,0.497,0.023
t555,0.632,0.068
t556,0.684,0.101
t557,0.685,0.073
t558,0.619,0.045
t559,0.452,0.022
t560,0.251,0.025
t561,0.056,0.053
t562,0,0.108
t563,0,0.179
t564,0,0.213
t565,0,0.214
t566,0,0.192
t567,0,0.149
t568,0,0.088
t569,0,0.022
t570,0,0.002
t571,0,0.006
t572,0,0.118
t573,0,0.355
t574,0,0.583
t575,0,0.713
t576,0.012,0.806
t577,0.06,0.842
t578,0.085,0.901
t579,0.146,0.926
t580,0.205,0.915
t581,0.499,0.89
t582,0.456,0.882
t583,0.467,0.881
t584,0.34,0.888
t585,0.102,0.881
t586,0,0.883
t587,0,0.884
t588,0,0.863
t589,0,0.822
t590,0,0.765
t591,0,0.7
t592,0,0.652
t593,0,0.615
t594,0,0.583
t595,0,0.573
t596,0,0.564
t597,0,0.555
t598,0,0.522
t599,0,0.468
t600,0.173,0.381
t601,0.442,0.341
t602,0.641,0.322
t603,0.766,0.23
t604,0.803,0.162
t605,0.802,0.127
t606,0.737,0.092
t607,0.581,0.059
t608,0.371,0.028
t609,0.109,0.008
t610,0,0.004
t611,0,0.004
t612,0,0.002
t613,0,0.002
t614,0,0.006
t615,0,0.017
t616,0,0.033
t617,0,0.054
t618,0,0.072
t619,0,0.079
t620,0,0.078
t621,0,0.083
t622,0,0.084
t623,0,0.102
t624,0.141,0.157
t625,0.36,0.176
t626,0.51,0.294
t627,0.64,0.367
t628,0.721,0.399
t629,0.703,0.402
t630,0.577,0.351
t631,0.488,0.285
t632,0.296,0.201
t633,0.068,0.155
t634,0,0.135
t635,0,0.124
t636,0,0.128
t637,0,0.121
t638,0,0.087
t639,0,0.054
t640,0,0.043
t641,0,0.051
t642,0,0.099
t643,0,0.183
t644,0,0.31
t645,0,0.46
t646,0,0.548
t647,0,0.547
t648,0.093,0.479
t649,0.158,0.334
t650,0.483,0.367
t651,0.657,0.352
t652,0.459,0.277
t653,0.402,0.233
t654,0.363,0.18
t655,0.236,0.132
t656,0.145,0.077
t657,0.044,0.04
t658,0,0.019
t659,0,0.017
t660,0,0.023
t661,0,0.03
t662,0,0.032
t663,0,0.032
t664,0,0.03
t665,0,0.025
t666,0,0.015
t667,0,0.009
t668,0,0.006
t669,0,0.008
t670,0,0.016
t671,0,0.018
t672,0.162,0.002
t673,0.392,0
t674,0.579,0.005
t675,0.695,0.014
t676,0.723,0.016
t677,0.553,0.032
t678,0.431,0.062
t679,0.336,0.083
t680,0.199,0.089
t681,0.053,0.09
t682,0,0.1
t683,0,0.119
t684,0,0.151
t685,0,0.187
t686,0,0.223
t687,0,0.245
t688,0,0.243
t689,0,0.207
t690,0,0.135
t691,0,0.065
t692,0,0.021
t693,0,0.004
t694,0,0.001
t695,0,0.001
t696,0.059,0
t697,0.175,0
t698,0.307,0
t699,0.322,0.002
t700,0.258,0.002
t701,0.164,0.026
t702,0.129,0.101
t703,0.096,0.179
t704,0.048,0.252
t705,0.01,0.364
t706,0,0.444
t707,0,0.468
t708,0,0.516
t709,0,0.598
t710,0,0.686
t711,0,0.768
t712,0,0.852
t713,0,0.884
t714,0,0.918
t715,0,0.941
t716,0,0.952
t717,0,0.953
t718,0,0.947
t719,0,0.928
t720,0.011,0.892
t721,0.123,0.862
t722,0.507,0.811
t723,0.699,0.739
t724,0.771,0.693
t725,0.778,0.606
t726,0.687,0.413
t727,0.548,0.253
t728,0.271,0.181
t729,0.065,0.122
t730,0,0.076
t731,0,0.054
t732,0,0.061
t733,0,0.096
t734,0,0.142
t735,0,0.192
t736,0,0.22
t737,0,0.235
t738,0,0.238
t739,0,0.26
t740,0,0.307
t741,0,0.362
t742,0,0.386
t743,0,0.358
t744,0.117,0.289
t745,0.335,0.201
t746,0.553,0.162
t747,0.681,0.155
t748,0.705,0.187
t749,0.705,0.211
t750,0.64,0.223
t751,0.477,0.214
t752,0.285,0.223
t753,0.079,0.365
t754,0,0.551
t755,0,0.642
t756,0,0.677
t757,0,0.663
t758,0,0.61
t759,0,0.582
t760,0,0.562
t761,0,0.519
t762,0,0.444
t763,0,0.372
t764,0,0.337
t765,0,0.344
t766,0,0.393
t767,0,0.482
t768,0.086,0.516
t769,0.261,0.57
t770,0.474,0.566
t771,0.497,0.577
t772,0.404,0.566
t773,0.327,0.547
t774,0.284,0.501
t775,0.191,0.43
t776,0.103,0.31
t777,0.022,0.225
t778,0,0.165
t779,0,0.106
t780,0,0.063
t781,0,0.043
t782,0,0.057
t783,0,0.108
t784,0,0.206
t785,0,0.321
t786,0,0.413
t787,0,0.501
t788,0,0.576
t789,0,0.574
t790,0,0.571
t791,0,0.495
t792,0.041,0.492
t793,0.235,0.593
t794,0.33,0.763
t795,0.414,0.785
t796,0.357,0.685
t797,0.265,0.592
t798,0.251,0.583
t799,0.187,0.589
t800,0.107,0.523
t801,0.079,0.449
t802,0,0.418
t803,0,0.459
t804,0,0.519
t805,0,0.498
t806,0,0.39
t807,0,0.252
t808,0,0.124
t809,0,0.054
t810,0,0.024
t811,0,0.007
t812,0,0.003
t813,0,0.005
t814,0,0.018
t815,0,0.041
t816,0.039,0.072
t817,0.121,0.078
t818,0.233,0.141
t819,0.468,0.284
t820,0.518,0.398
t821,0.407,0.459
t822,0.235,0.496
t823,0.144,0.484
t824,0.127,0.45
t825,0.042,0.537
t826,0,0.655
t827,0,0.721
t828,0,0.746
t829,0,0.737
t830,0,0.708
t831,0,0.68
t832,0,0.641
t833,0,0.589
t834,0,0.536
t835,0,0.481
t836,0,0.41
t837,0,0.325
t838,0,0.318
t839,0,0.295
t840,0.05,0.274
t841,0.239,0.264
t842,0.536,0.311
t843,0.671,0.328
t844,0.683,0.388
t845,0.618,0.399
t846,0.568,0.396
t847,0.521,0.37
t848,0.338,0.368
t849,0.097,0.448
t850,0,0.544
t851,0,0.482
t852,0,0.388
t853,0,0.419
t854,0,0.367
t855,0,0.311
t856,0,0.295
t857,0,0.266
t858,0,0.211
t859,0,0.1
t860,0,0.027
t861,0,0.032
t862,0,0.017
t863,0,0.005
t864,0.004,0.005
t865,0.039,0.007
t866,0.167,0.012
t867,0.325,0.02
t868,0.176,0.044
t869,0.114,0.072
t870,0.129,0.09
t871,0.116,0.144
t872,0.072,0.28
t873,0.018,0.467
t874,0,0.639
t875,0,0.759
t876,0,0.811
t877,0,0.822
t878,0,0.82
t879,0,0.831
t880,0,0.878
t881,0,0.932
t882,0,0.974
t883,0,0.988
t884,0,0.991
t885,0,0.991
t886,0,0.989
t887,0,0.991
t888,0.064,0.99
t889,0.215,0.987
t890,0.426,0.976
t891,0.494,0.958
t892,0.599,0.935
t893,0.811,0.915
t894,0.768,0.867
t895,0.629,0.789
t896,0.424,0.726
t897,0.155,0.715
t898,0,0.777
t899,0,0.821
t900,0,0.853
t901,0,0.862
t902,0,0.815
t903,0,0.773
t904,0,0.781
t905,0,0.745
t906,0,0.648
t907,0,0.642
t908,0,0.608
t909,0,0.58
t910,0,0.509
t911,0,0.413
t912,0.123,0.318
t913,0.294,0.236
t914,0.537,0.155
t915,0.684,0.094
t916,0.696,0.048
t917,0.635,0.011
t918,0.345,0.012
t919,0.14,0.018
t920,0.054,0.012
t921,0.011,0.01
t922,0,0.012
t923,0,0.008
t924,0,0.004
t925,0,0.002
t926,0,0.007
t927,0,0.023
t928,0,0.019
t929,0,0.045
t930,0,0.123
t931,0,0.245
t932,0,0.448
t933,0,0.606
t934,0,0.635
t935,0,0.595
t936,0.076,0.609
t937,0.277,0.602
t938,0.551,0.547
t939,0.503,0.505
t940,0.385,0.456
t941,0.573,0.397
t942,0.546,0.305
t943,0.44,0.223
t944,0.244,0.176
t945,0.043,0.158
t946,0,0.178
t947,0,0.254
t948,0,0.34
t949,0,0.437
t950,0,0.525
t951,0,0.503
t952,0,0.538
t953,0,0.483
t954,0,0.428
t955,0,0.391
t956,0,0.371
t957,0,0.351
t958,0,0.32
t959,0,0.285
t960,0.067,0.239
t961,0.215,0.162
t962,0.353,0.102
t963,0.461,0.055
t964,0.539,0.029
t965,0.545,0.019
t966,0.466,0.015
t967,0.326,0.013
t968,0.174,0.009
t969,0.055,0.008
t970,0,0.004
t971,0,0.001
t972,0,0
t973,0,0
t974,0,0.001
t975,0,0.024
t976,0,0.078
t977,0,0.138
t978,0,0.183
t979,0,0.228
t980,0,0.237
t981,0,0.161
t982,0,0.094
t983,0,0.047
t984,0.123,0.013
t985,0.362,0.004
t986,0.549,0.001
t987,0.684,0.001
t988,0.757,0.005
t989,0.753,0.012
t990,0.681,0.008
t991,0.51,0.001
t992,0.284,0
t993,0.093,0.001
t994,0,0.057
t995,0,0.17
t996,0,0.249
t997,0,0.266
t998,0,0.231
t999,0,0.167
t1000,0,0.113
t1001,0,0.069
t1002,0,0.042
t1003,0,0.038
t1004,0,0.04
t1005,0,0.035
t1006,0,0.016
t1007,0,0.008
t1008,0.042,0.008
t1009,0.111,0.02
