t,s,w
t332,0,0.903
t333,0,0.903
t334,0,0.88
t335,0,0.891
t336,0.05,0.892
t337,0.346,0.953
t338,0.587,0.953
t339,0.632,0.916
t340,0.557,0.871
t341,0.516,0.814
t342,0.452,0.749
t343,0.283,0.645
t344,0.161,0.513
t345,0.038,0.389
t346,0,0.311
t347,0,0.286
t348,0,0.249
t349,0,0.184
t350,0,0.115
t351,0,0.061
t352,0,0.024
t353,0,0.005
t354,0,0
t355,0,0
t356,0,0
t357,0,0.001
t358,0,0.007
t359,0,0.021
t360,0.063,0.039
t361,0.381,0.041
t362,0.608,0.026
t363,0.747,0.014
t364,0.815,0.021
t365,0.816,0.038
t366,0.754,0.051
t367,0.614,0.057
t368,0.407,0.058
t369,0.128,0.063
t370,0,0.063
t371,0,0.067
t372,0,0.09
t373,0,0.126
t374,0,0.163
t375,0,0.197
t376,0,0.25
t377,0,0.294
t378,0,0.291
t379,0,0.277
t380,0,0.278
t381,0,0.285
t382,0,0.266
t383,0,0.231
t384,0.047,0.197
t385,0.358,0.126
t386,0.582,0.03
t387,0.717,0.002
t388,0.775,0.001
t389,0.78,0.003
t390,0.723,0.006
t391,0.588,0.009
t392,0.384,0.014
t393,0.113,0.007
t394,0,0.004
t395,0,0.017
t396,0,0.057
t397,0,0.112
t398,0,0.183
t399,0,0.289
t400,0,0.302
t401,0,0.342
t402,0,0.429
t403,0,0.425
t404,0,0.379
t405,0,0.375
t406,0,0.419
t407,0,0.495
t408,0.045,0.546
t409,0.225,0.442
t410,0.291,0.206
t411,0.329,0.151
t412,0.295,0.231
t413,0.225,0.199
t414,0.163,0.137
t415,0.106,0.1
t416,0.057,0.101
t417,0.015,0.12
t418,0,0.155
t419,0,0.189
t420,0,0.212
t421,0,0.22
t422,0,0.212
t423,0,0.187
t424,0,0.132
t425,0,0.063
t426,0,0.016
t427,0,0.001
t428,0,0.001
t429,0,0.021
t430,0,0.095
t431,0,0.176
t432,0.009,0.255
t433,0.095,0.255
t434,0.219,0.153
t435,0.343,0.219
t436,0.404,0.223
t437,0.358,0.183
t438,0.285,0.225
t439,0.235,0.311
t440,0.14,0.349
t441,0.026,0.417
t442,0,0.51
t443,0,0.516
t444,0,0.449
t445,0,0.397
t446,0,0.356
t447,0,0.284
t448,0,0.236
t449,0,0.223
t450,0,0.223
t451,0,0.23
t452,0,0.208
t453,0,0.167
t454,0,0.135
t455,0,0.125
t456,0.059,0.13
t457,0.34,0.081
t458,0.552,0.067
t459,0.684,0.163
t460,0.759,0.264
t461,0.761,0.325
t462,0.702,0.362
t463,0.558,0.364
t464,0.362,0.343
t465,0.111,0.322
t466,0,0.286
t467,0,0.2
t468,0,0.125
t469,0,0.085
t470,0,0.065
t471,0,0.061
t472,0,0.087
t473,0,0.155
t474,0,0.252
t475,0,0.354
t476,0,0.441
t477,0,0.494
t478,0,0.504
t479,0,0.475
t480,0.088,0.434
t481,0.384,0.323
t482,0.596,0.128
t483,0.724,0.18
t484,0.78,0.233
t485,0.777,0.238
t486,0.711,0.233
t487,0.567,0.223
t488,0.359,0.21
t489,0.103,0.219
t490,0,0.191
t491,0,0.153
t492,0,0.132
t493,0,0.116
t494,0,0.097
t495,0,0.084
t496,0,0.092
t497,0,0.115
t498,0,0.146
t499,0,0.188
t500,0,0.237
t501,0,0.274
t502,0,0.263
t503,0,0.231
t504,0.09,0.228
t505,0.382,0.234
t506,0.592,0.124
t507,0.721,0.113
t508,0.771,0.278
t509,0.769,0.355
t510,0.705,0.391
t511,0.571,0.356
t512,0.372,0.297
t513,0.115,0.274
t514,0,0.235
t515,0,0.196
t516,0,0.185
