t,s,w
t322,0.058,0.169
t323,0,0.211
t324,0,0.231
t325,0,0.237
t326,0,0.245
t327,0,0.247
t328,0,0.223
t329,0,0.194
t330,0,0.192
t331,0,0.211
t332,0,0.261
t333,0,0.301
t334,0,0.325
t335,0,0.311
t336,0.017,0.28
t337,0.135,0.217
t338,0.35,0.26
t339,0.431,0.274
t340,0.437,0.235
t341,0.466,0.192
t342,0.455,0.15
t343,0.389,0.112
t344,0.282,0.094
t345,0.183,0.097
t346,0.046,0.102
t347,0,0.104
t348,0,0.117
t349,0,0.201
t350,0,0.381
t351,0,0.447
t352,0,0.42
t353,0,0.454
t354,0,0.498
t355,0,0.571
t356,0,0.623
t357,0,0.587
t358,0,0.542
t359,0,0.528
t360,0.021,0.497
t361,0.164,0.447
t362,0.345,0.425
t363,0.504,0.389
t364,0.599,0.355
t365,0.646,0.312
t366,0.599,0.262
t367,0.456,0.238
t368,0.281,0.27
t369,0.146,0.337
t370,0.032,0.401
t371,0,0.444
t372,0,0.488
t373,0,0.498
t374,0,0.485
t375,0,0.496
t376,0,0.467
t377,0,0.427
t378,0,0.414
t379,0,0.412
t380,0,0.422
t381,0,0.436
t382,0,0.464
t383,0,0.484
t384,0.01,0.48
t385,0.09,0.436
t386,0.2,0.385
t387,0.319,0.314
t388,0.43,0.236
t389,0.542,0.173
t390,0.611,0.12
t391,0.53,0.076
t392,0.392,0.049
t393,0.244,0.038
t394,0.063,0.037
t395,0,0.037
t396,0,0.036
t397,0,0.039
t398,0,0.047
t399,0,0.061
t400,0,0.078
t401,0,0.104
t402,0,0.141
t403,0,0.191
t404,0,0.252
t405,0,0.302
t406,0,0.341
t407,0,0.365
t408,0.03,0.368
t409,0.182,0.343
t410,0.325,0.34
t411,0.43,0.302
t412,0.494,0.261
t413,0.547,0.22
t414,0.536,0.186
t415,0.476,0.179
t416,0.362,0.191
t417,0.205,0.203
t418,0.052,0.212
t419,0,0.242
t420,0,0.271
t421,0,0.295
t422,0,0.305
t423,0,0.289
t424,0,0.261
t425,0,0.227
t426,0,0.201
t427,0,0.198
t428,0,0.213
t429,0,0.248
t430,0,0.287
t431,0,0.339
t432,0.034,0.377
t433,0.259,0.337
t434,0.465,0.318
t435,0.602,0.259
t436,0.67,0.2
t437,0.704,0.164
t438,0.677,0.148
t439,0.608,0.148
t440,0.48,0.164
t441,0.27,0.22
t442,0.077,0.285
t443,0,0.332
t444,0,0.358
t445,0,0.37
t446,0,0.386
t447,0,0.357
t448,0,0.318
t449,0,0.317
t450,0,0.341
t451,0,0.34
t452,0,0.332
t453,0,0.325
t454,0,0.326
t455,0,0.332
t456,0.034,0.315
t457,0.198,0.243
t458,0.364,0.216
t459,0.464,0.177
t460,0.508,0.154
t461,0.519,0.135
t462,0.52,0.112
t463,0.465,0.101
t464,0.342,0.109
t465,0.204,0.127
t466,0.06,0.135
t467,0,0.159
t468,0,0.242
t469,0,0.42
t470,0,0.566
t471,0,0.655
t472,0,0.744
t473,0,0.788
t474,0,0.778
t475,0,0.744
t476,0,0.68
t477,0,0.607
t478,0,0.565
t479,0,0.572
t480,0.023,0.591
t481,0.171,0.617
t482,0.312,0.62
t483,0.442,0.582
t484,0.599,0.516
t485,0.671,0.432
t486,0.66,0.35
t487,0.587,0.28
t488,0.448,0.227
t489,0.262,0.213
t490,0.066,0.229
t491,0,0.334
t492,0,0.494
t493,0,0.617
t494,0,0.678
t495,0,0.717
t496,0,0.706
t497,0,0.692
t498,0,0.644
t499,0,0.578
t500,0,0.513
t501,0,0.471
