t,s,w
t327,0,0.652
t328,0,0.625
t329,0,0.615
t330,0,0.58
t331,0,0.527
t332,0,0.528
t333,0,0.554
t334,0,0.501
t335,0,0.438
t336,0,0.379
t337,0.091,0.365
t338,0.228,0.381
t339,0.273,0.279
t340,0.325,0.184
t341,0.385,0.133
t342,0.419,0.105
t343,0.428,0.086
t344,0.306,0.085
t345,0.096,0.102
t346,0,0.167
t347,0,0.216
t348,0,0.244
t349,0,0.229
t350,0,0.176
t351,0,0.114
t352,0,0.07
t353,0,0.046
t354,0,0.032
t355,0,0.023
t356,0,0.027
t357,0,0.027
t358,0,0.023
t359,0,0.021
t360,0,0.026
t361,0.269,0.033
t362,0.532,0.07
t363,0.705,0.136
t364,0.809,0.174
t365,0.836,0.193
t366,0.798,0.225
t367,0.685,0.251
t368,0.493,0.278
t369,0.229,0.309
t370,0.009,0.304
t371,0,0.28
t372,0,0.259
t373,0,0.24
t374,0,0.238
t375,0,0.242
t376,0,0.251
t377,0,0.269
t378,0,0.285
t379,0,0.267
t380,0,0.223
t381,0,0.207
t382,0,0.188
t383,0,0.154
t384,0.001,0.111
t385,0.287,0.053
t386,0.548,0.005
t387,0.717,0.003
t388,0.81,0.001
t389,0.838,0.003
t390,0.803,0.012
t391,0.703,0.016
t392,0.522,0.013
t393,0.183,0.008
t394,0.008,0.006
t395,0,0.004
t396,0,0.003
t397,0,0.002
t398,0,0
t399,0,0
t400,0,0.001
t401,0,0.001
t402,0,0
t403,0,0
t404,0,0
t405,0,0
t406,0,0
t407,0,0.001
t408,0,0.004
t409,0.077,0.008
t410,0.219,0.012
t411,0.375,0.01
t412,0.522,0.014
t413,0.607,0.007
t414,0.667,0.006
t415,0.571,0.005
t416,0.391,0.005
t417,0.163,0.011
t418,0.005,0.026
t419,0,0.035
t420,0,0.038
t421,0,0.053
t422,0,0.079
t423,0,0.116
t424,0,0.162
t425,0,0.204
t426,0,0.257
t427,0,0.317
t428,0,0.386
t429,0,0.393
t430,0,0.27
t431,0,0.148
t432,0,0.112
t433,0.055,0.108
t434,0.146,0.046
t435,0.204,0.02
t436,0.283,0.001
t437,0.371,0
t438,0.4,0.001
t439,0.416,0.025
t440,0.299,0.089
t441,0.136,0.168
t442,0.006,0.328
t443,0,0.491
t444,0,0.544
t445,0,0.542
t446,0,0.519
t447,0,0.485
t448,0,0.443
t449,0,0.416
t450,0,0.388
t451,0,0.347
t452,0,0.316
t453,0,0.294
t454,0,0.237
t455,0,0.179
t456,0.001,0.115
t457,0.252,0.073
t458,0.511,0.068
t459,0.688,0.13
t460,0.795,0.213
t461,0.832,0.303
t462,0.808,0.407
t463,0.718,0.503
t464,0.555,0.567
t465,0.299,0.61
t466,0.025,0.591
t467,0,0.552
t468,0,0.536
t469,0,0.538
t470,0,0.558
t471,0,0.579
t472,0,0.615
t473,0,0.642
t474,0,0.615
t475,0,0.574
t476,0,0.564
t477,0,0.561
t478,0,0.508
t479,0,0.446
t480,0.004,0.403
t481,0.326,0.273
t482,0.583,0.261
t483,0.75,0.505
t484,0.845,0.633
t485,0.872,0.679
t486,0.837,0.692
t487,0.735,0.687
t488,0.562,0.674
t489,0.303,0.62
t490,0.027,0.515
t491,0,0.498
t492,0,0.523
t493,0,0.533
t494,0,0.523
t495,0,0.496
t496,0,0.496
t497,0,0.518
t498,0,0.539
t499,0,0.558
t500,0,0.571
t501,0,0.561
t502,0,0.484
t503,0,0.395
t504,0.004,0.347
t505,0.315,0.267
t506,0.571,0.138
t507,0.739,0.223
t508,0.828,0.269
t509,0.857,0.304
t510,0.823,0.312
t511,0.727,0.282
t512,0.56,0.264
t513,0.306,0.238
t514,0.031,0.21
t515,0,0.175
