t,s,w
t325,0,0.305
t326,0,0.313
t327,0,0.323
t328,0,0.341
t329,0,0.351
t330,0,0.358
t331,0,0.342
t332,0,0.31
t333,0,0.288
t334,0,0.251
t335,0,0.212
t336,0.06,0.155
t337,0.213,0.099
t338,0.397,0.113
t339,0.526,0.12
t340,0.526,0.129
t341,0.456,0.144
t342,0.379,0.168
t343,0.264,0.21
t344,0.137,0.27
t345,0.027,0.341
t346,0,0.407
t347,0,0.485
t348,0,0.591
t349,0,0.635
t350,0,0.654
t351,0,0.661
t352,0,0.661
t353,0,0.674
t354,0,0.7
t355,0,0.713
t356,0,0.708
t357,0,0.695
t358,0,0.672
t359,0,0.622
t360,0.014,0.594
t361,0.06,0.595
t362,0.112,0.586
t363,0.149,0.552
t364,0.169,0.556
t365,0.18,0.544
t366,0.159,0.516
t367,0.108,0.476
t368,0.063,0.467
t369,0.018,0.459
t370,0,0.447
t371,0,0.476
t372,0,0.509
t373,0,0.529
t374,0,0.538
t375,0,0.535
t376,0,0.535
t377,0,0.533
t378,0,0.51
t379,0,0.457
t380,0,0.382
t381,0,0.337
t382,0,0.286
t383,0,0.254
t384,0.055,0.222
t385,0.293,0.223
t386,0.499,0.222
t387,0.649,0.194
t388,0.737,0.187
t389,0.738,0.183
t390,0.68,0.195
t391,0.565,0.229
t392,0.35,0.264
t393,0.127,0.313
t394,0,0.374
t395,0,0.402
t396,0,0.435
t397,0,0.432
t398,0,0.409
t399,0,0.394
t400,0,0.42
t401,0,0.488
t402,0,0.526
t403,0,0.539
t404,0,0.532
t405,0,0.523
t406,0,0.484
t407,0,0.464
t408,0.163,0.415
t409,0.404,0.494
t410,0.582,0.528
t411,0.694,0.451
t412,0.734,0.367
t413,0.74,0.292
t414,0.69,0.255
t415,0.559,0.247
t416,0.371,0.243
t417,0.135,0.223
t418,0,0.239
t419,0,0.268
t420,0,0.289
t421,0,0.303
t422,0,0.302
t423,0,0.289
t424,0,0.279
t425,0,0.277
t426,0,0.278
t427,0,0.278
t428,0,0.279
t429,0,0.254
t430,0,0.197
t431,0,0.166
t432,0.122,0.134
t433,0.276,0.05
t434,0.405,0.016
t435,0.512,0.008
t436,0.574,0.006
t437,0.589,0.007
t438,0.557,0.008
t439,0.448,0.005
t440,0.281,0.002
t441,0.087,0
t442,0,0
t443,0,0
t444,0,0
t445,0,0.002
t446,0,0.008
t447,0,0.034
t448,0,0.061
t449,0,0.067
t450,0,0.084
t451,0,0.133
t452,0,0.18
t453,0,0.21
t454,0,0.226
t455,0,0.254
t456,0.038,0.281
t457,0.112,0.291
t458,0.197,0.4
t459,0.32,0.436
t460,0.403,0.442
t461,0.389,0.448
t462,0.31,0.454
t463,0.218,0.471
t464,0.118,0.493
t465,0.031,0.512
t466,0,0.484
t467,0,0.479
t468,0,0.494
t469,0,0.505
t470,0,0.544
t471,0,0.622
t472,0,0.66
t473,0,0.695
t474,0,0.744
t475,0,0.734
t476,0,0.683
t477,0,0.639
t478,0,0.599
t479,0,0.537
t480,0.022,0.515
t481,0.088,0.5
t482,0.165,0.425
t483,0.245,0.328
t484,0.285,0.247
t485,0.298,0.199
t486,0.308,0.182
t487,0.256,0.19
t488,0.167,0.207
t489,0.059,0.231
t490,0,0.254
t491,0,0.225
t492,0,0.193
t493,0,0.165
t494,0,0.147
t495,0,0.138
t496,0,0.148
t497,0,0.167
t498,0,0.179
t499,0,0.178
t500,0,0.19
t501,0,0.192
t502,0,0.186
t503,0,0.182
t504,0.093,0.147
t505,0.362,0.121
t506,0.555,0.115
t507,0.682,0.083
t508,0.75,0.056
t509,0.756,0.041
t510,0.703,0.036
t511,0.582,0.041
t512,0.4,0.046
t513,0.158,0.053
t514,0.001,0.07
t515,0,0.071
t516,0,0.061
t517,0,0.055
t518,0,0.055
t519,0,0.064
t520,0,0.082
t521,0,0.102
t522,0,0.126
t523,0,0.149
t524,0,0.158
t525,0,0.165
t526,0,0.179
t527,0,0.188
t528,0.186,0.183
t529,0.436,0.156
t530,0.622,0.164
t531,0.738,0.142
t532,0.786,0.123
t533,0.783,0.106
t534,0.722,0.091
t535,0.594,0.088
t536,0.404,0.097
t537,0.159,0.122
t538,0.002,0.196
t539,0,0.233
t540,0,0.224
t541,0,0.192
t542,0,0.191
t543,0,0.222
t544,0,0.274
t545,0,0.329
t546,0,0.354
t547,0,0.367
t548,0,0.386
t549,0,0.406
t550,0,0.402
t551,0,0.387
t552,0.184,0.337
t553,0.429,0.29
t554,0.611,0.327
t555,0.725,0.283
t556,0.786,0.245
t557,0.779,0.219
t558,0.717,0.196
t559,0.603,0.191
t560,0.415,0.195
t561,0.167,0.203
t562,0.002,0.223
t563,0,0.235
t564,0,0.242
t565,0,0.256
t566,0,0.274
t567,0,0.285
t568,0,0.308
t569,0,0.312
t570,0,0.303
t571,0,0.294
t572,0,0.277
t573,0,0.246
t574,0,0.198
t575,0,0.156
t576,0.138,0.124
t577,0.322,0.064
t578,0.472,0.032
t579,0.581,0.021
t580,0.631,0.02
t581,0.64,0.018
t582,0.586,0.014
t583,0.471,0.012
t584,0.303,0.014
t585,0.113,0.031
t586,0.001,0.065
t587,0,0.116
t588,0,0.187
t589,0,0.262
t590,0,0.355
t591,0,0.465
t592,0,0.491
t593,0,0.502
t594,0,0.538
t595,0,0.556
t596,0,0.627
t597,0,0.707
