t,s,w
t329,0,0.884
t330,0,0.901
t331,0,0.84
t332,0,0.741
t333,0,0.704
t334,0,0.697
t335,0,0.776
t336,0.011,0.883
t337,0.102,0.916
t338,0.168,0.896
t339,0.27,0.826
t340,0.343,0.713
t341,0.293,0.568
t342,0.309,0.407
t343,0.287,0.291
t344,0.174,0.199
t345,0.064,0.145
t346,0,0.121
t347,0,0.074
t348,0,0.03
t349,0,0.008
t350,0,0.001
t351,0,0.001
t352,0,0.002
t353,0,0.012
t354,0,0.042
t355,0,0.083
t356,0,0.135
t357,0,0.167
t358,0,0.198
t359,0,0.251
t360,0.01,0.311
t361,0.234,0.249
t362,0.465,0.114
t363,0.617,0.082
t364,0.746,0.041
t365,0.756,0.021
t366,0.705,0.006
t367,0.582,0.003
t368,0.397,0.041
t369,0.149,0.205
t370,0,0.344
t371,0,0.384
t372,0,0.358
t373,0,0.252
t374,0,0.139
t375,0,0.087
t376,0,0.096
t377,0,0.161
t378,0,0.254
t379,0,0.364
t380,0,0.491
t381,0,0.593
t382,0,0.644
t383,0,0.673
t384,0.016,0.701
t385,0.286,0.562
t386,0.526,0.158
t387,0.68,0.042
t388,0.757,0.009
t389,0.774,0
t390,0.727,0
t391,0.609,0.009
t392,0.422,0.071
t393,0.161,0.18
t394,0,0.211
t395,0,0.201
t396,0,0.178
t397,0,0.144
t398,0,0.126
t399,0,0.167
t400,0,0.19
t401,0,0.151
t402,0,0.097
t403,0,0.056
t404,0,0.058
t405,0,0.075
t406,0,0.088
t407,0,0.111
t408,0.006,0.119
t409,0.075,0.099
t410,0.144,0.042
t411,0.202,0.004
t412,0.258,0.004
t413,0.283,0.017
t414,0.259,0.028
t415,0.224,0.034
t416,0.15,0.047
t417,0.047,0.046
t418,0,0.025
t419,0,0.018
t420,0,0.022
t421,0,0.051
t422,0,0.128
t423,0,0.243
t424,0,0.335
t425,0,0.402
t426,0,0.449
t427,0,0.492
t428,0,0.498
t429,0,0.528
t430,0,0.575
t431,0,0.599
t432,0.001,0.601
t433,0.051,0.532
t434,0.113,0.59
t435,0.163,0.633
t436,0.188,0.593
t437,0.225,0.574
t438,0.233,0.571
t439,0.159,0.555
t440,0.086,0.438
t441,0.043,0.32
t442,0,0.334
t443,0,0.325
t444,0,0.246
t445,0,0.167
t446,0,0.124
t447,0,0.11
t448,0,0.112
t449,0,0.111
t450,0,0.098
t451,0,0.086
t452,0,0.083
t453,0,0.087
t454,0,0.117
t455,0,0.201
t456,0.01,0.346
t457,0.221,0.434
t458,0.446,0.409
t459,0.607,0.51
t460,0.689,0.412
t461,0.714,0.296
t462,0.678,0.204
t463,0.561,0.134
t464,0.383,0.101
t465,0.153,0.129
t466,0.001,0.078
t467,0,0.013
t468,0,0.004
t469,0,0.035
t470,0,0.118
t471,0,0.231
t472,0,0.349
t473,0,0.504
t474,0,0.645
t475,0,0.722
t476,0,0.772
t477,0,0.801
t478,0,0.824
t479,0,0.825
t480,0.02,0.809
t481,0.294,0.65
t482,0.551,0.329
t483,0.704,0.073
t484,0.782,0.017
t485,0.797,0.002
t486,0.752,0.001
t487,0.641,0.001
t488,0.46,0.006
t489,0.201,0.021
t490,0.003,0.025
t491,0,0.045
t492,0,0.123
t493,0,0.237
t494,0,0.442
t495,0,0.654
t496,0,0.777
t497,0,0.818
t498,0,0.833
t499,0,0.837
t500,0,0.831
t501,0,0.815
t502,0,0.809
t503,0,0.788
t504,0.029,0.77
t505,0.318,0.635
t506,0.547,0.274
t507,0.69,0.041
t508,0.762,0.007
t509,0.773,0.006
t510,0.726,0.003
t511,0.614,0.003
t512,0.436,0.05
t513,0.183,0.154
t514,0.002,0.211
t515,0,0.248
t516,0,0.238
t517,0,0.188
t518,0,0.169
t519,0,0.202
t520,0,0.278
t521,0,0.365
t522,0,0.402
t523,0,0.386
t524,0,0.353
t525,0,0.332
t526,0,0.35
t527,0,0.367
t528,0.021,0.338
t529,0.252,0.259
t530,0.479,0.153
t531,0.634,0.149
t532,0.671,0.088
t533,0.687,0.047
t534,0.636,0.038
t535,0.461,0.046
t536,0.286,0.067
t537,0.093,0.067
t538,0,0.038
t539,0,0.01
t540,0,0
t541,0,0
t542,0,0
t543,0,0.001
t544,0,0.001
t545,0,0
t546,0,0
t547,0,0
t548,0,0.001
t549,0,0.001
t550,0,0.001
t551,0,0.001
t552,0.008,0.002
t553,0.133,0.007
t554,0.316,0.003
t555,0.458,0
t556,0.477,0
t557,0.484,0
t558,0.416,0.003
t559,0.264,0.032
t560,0.133,0.084
t561,0.037,0.072
t562,0,0.03
t563,0,0.07
t564,0,0.32
t565,0,0.601
t566,0,0.674
t567,0,0.672
t568,0,0.666
t569,0,0.69
t570,0,0.74
t571,0,0.808
t572,0,0.841
t573,0,0.845
t574,0,0.826
t575,0,0.786
t576,0,0.732
t577,0.034,0.642
t578,0.118,0.601
t579,0.254,0.638
t580,0.418,0.544
t581,0.496,0.459
t582,0.528,0.414
t583,0.457,0.382
t584,0.307,0.323
t585,0.113,0.266
t586,0.001,0.264
t587,0,0.227
t588,0,0.137
t589,0,0.055
t590,0,0.011
t591,0,0.005
t592,0,0.01
t593,0,0.018
t594,0,0.019
t595,0,0.012
t596,0,0.003
t597,0,0
t598,0,0
t599,0,0
t600,0.021,0
t601,0.253,0
t602,0.501,0.006
t603,0.655,0.018
t604,0.732,0.031
t605,0.733,0.037
t606,0.594,0.05
t607,0.477,0.083
t608,0.326,0.148
t609,0.122,0.31
t610,0.002,0.479
t611,0,0.56
t612,0,0.586
t613,0,0.576
t614,0,0.555
t615,0,0.516
t616,0,0.478
t617,0,0.467
t618,0,0.479
t619,0,0.459
t620,0,0.449
t621,0,0.467
t622,0,0.498
t623,0,0.529
t624,0.006,0.537
t625,0.067,0.434
t626,0.11,0.269
t627,0.254,0.202
t628,0.278,0.112
t629,0.271,0.028
t630,0.264,0.006
t631,0.188,0.002
t632,0.134,0.019
t633,0.057,0.03
t634,0,0.014
t635,0,0.001
t636,0,0
t637,0,0.004
t638,0,0.057
t639,0,0.241
t640,0,0.516
t641,0,0.711
t642,0,0.765
t643,0,0.748
t644,0,0.606
t645,0,0.423
t646,0,0.318
t647,0,0.242
t648,0.007,0.171
t649,0.056,0.107
t650,0.174,0.051
t651,0.308,0.032
t652,0.491,0.012
t653,0.494,0.001
t654,0.452,0
t655,0.315,0
t656,0.152,0.018
t657,0.058,0.142
t658,0,0.233
t659,0,0.241
t660,0,0.226
t661,0,0.233
t662,0,0.266
t663,0,0.317
t664,0,0.337
t665,0,0.373
t666,0,0.425
t667,0,0.454
t668,0,0.498
t669,0,0.568
t670,0,0.556
t671,0,0.488
t672,0.003,0.432
t673,0.044,0.336
t674,0.108,0.199
t675,0.183,0.095
t676,0.226,0.09
t677,0.244,0.093
t678,0.226,0.087
t679,0.185,0.08
t680,0.138,0.139
t681,0.056,0.249
t682,0,0.364
t683,0,0.422
t684,0,0.405
t685,0,0.376
t686,0,0.342
t687,0,0.296
t688,0,0.232
t689,0,0.167
t690,0,0.111
t691,0,0.037
t692,0,0.023
t693,0,0.022
t694,0,0.027
t695,0,0.249
t696,0.005,0.541
t697,0.031,0.592
t698,0.055,0.69
t699,0.117,0.847
t700,0.254,0.906
t701,0.331,0.908
t702,0.279,0.889
t703,0.12,0.874
t704,0.047,0.884
t705,0.012,0.871
t706,0,0.89
t707,0,0.888
t708,0,0.87
t709,0,0.826
t710,0,0.77
t711,0,0.678
t712,0,0.535
t713,0,0.491
t714,0,0.504
t715,0,0.481
t716,0,0.403
t717,0,0.356
t718,0,0.377
t719,0,0.401
t720,0.01,0.325
t721,0.087,0.205
t722,0.128,0.16
t723,0.232,0.099
t724,0.278,0.03
t725,0.33,0.002
t726,0.287,0.005
t727,0.254,0.027
t728,0.176,0.041
t729,0.066,0.097
t730,0.001,0.15
t731,0,0.131
t732,0,0.097
t733,0,0.144
t734,0,0.358
t735,0,0.594
t736,0,0.692
t737,0,0.718
t738,0,0.712
t739,0,0.722
t740,0,0.7
t741,0,0.698
t742,0,0.697
t743,0,0.685
t744,0.042,0.644
t745,0.351,0.391
t746,0.583,0.259
t747,0.728,0.189
t748,0.801,0.128
t749,0.811,0.112
t750,0.761,0.146
t751,0.641,0.245
t752,0.457,0.413
t753,0.203,0.674
t754,0.01,0.845
t755,0,0.864
t756,0,0.827
t757,0,0.794
t758,0,0.756
t759,0,0.704
t760,0,0.639
t761,0,0.537
t762,0,0.421
t763,0,0.376
t764,0,0.352
t765,0,0.376
t766,0,0.422
t767,0,0.42
t768,0.016,0.413
t769,0.174,0.345
t770,0.387,0.379
t771,0.541,0.272
t772,0.645,0.105
t773,0.659,0.035
t774,0.588,0.007
t775,0.464,0.003
t776,0.259,0.022
t777,0.114,0.136
t778,0.004,0.169
t779,0,0.093
t780,0,0.031
t781,0,0.016
t782,0,0.048
t783,0,0.175
t784,0,0.335
t785,0,0.503
t786,0,0.619
t787,0,0.722
t788,0,0.766
t789,0,0.808
t790,0,0.791
t791,0,0.697
t792,0.001,0.54
t793,0.041,0.436
t794,0.086,0.291
t795,0.157,0.184
t796,0.323,0.176
t797,0.581,0.19
t798,0.639,0.182
t799,0.556,0.188
t800,0.401,0.213
t801,0.182,0.221
t802,0.01,0.329
t803,0,0.494
t804,0,0.599
t805,0,0.638
t806,0,0.618
t807,0,0.574
t808,0,0.526
t809,0,0.455
t810,0,0.348
t811,0,0.256
t812,0,0.194
t813,0,0.144
t814,0,0.097
t815,0,0.067
t816,0.021,0.057
t817,0.248,0.039
t818,0.455,0.014
t819,0.405,0.112
t820,0.405,0.33
t821,0.465,0.596
t822,0.458,0.745
t823,0.416,0.794
t824,0.321,0.785
t825,0.175,0.813
t826,0.011,0.893
t827,0,0.9
t828,0,0.89
t829,0,0.891
t830,0,0.862
t831,0,0.846
t832,0,0.823
t833,0,0.8
t834,0,0.782
t835,0,0.77
t836,0,0.737
t837,0,0.642
t838,0,0.464
t839,0,0.271
t840,0.035,0.249
t841,0.212,0.219
t842,0.379,0.123
t843,0.57,0.084
t844,0.453,0.053
t845,0.188,0.04
t846,0.188,0.039
t847,0.176,0.02
t848,0.148,0.022
t849,0.1,0.041
t850,0.005,0.082
t851,0,0.076
t852,0,0.029
t853,0,0.002
t854,0,0
t855,0,0.008
t856,0,0.015
t857,0,0.089
t858,0,0.2
t859,0,0.262
t860,0,0.312
t861,0,0.331
t862,0,0.388
t863,0,0.478
t864,0.004,0.536
t865,0.059,0.527
t866,0.113,0.411
t867,0.13,0.299
t868,0.137,0.255
