t,s,w
t322,0.051,0.073
t323,0,0.105
t324,0,0.107
t325,0,0.089
t326,0,0.063
t327,0,0.035
t328,0,0.021
t329,0,0.03
t330,0,0.073
t331,0,0.145
t332,0,0.216
t333,0,0.256
t334,0,0.281
t335,0,0.305
t336,0.025,0.309
t337,0.186,0.282
t338,0.435,0.311
t339,0.581,0.246
t340,0.614,0.145
t341,0.641,0.073
t342,0.619,0.041
t343,0.516,0.026
t344,0.37,0.023
t345,0.191,0.034
t346,0.041,0.059
t347,0,0.114
t348,0,0.225
t349,0,0.398
t350,0,0.51
t351,0,0.564
t352,0,0.592
t353,0,0.633
t354,0,0.604
t355,0,0.61
t356,0,0.615
t357,0,0.586
t358,0,0.532
t359,0,0.493
t360,0.019,0.429
t361,0.14,0.36
t362,0.291,0.323
t363,0.425,0.265
t364,0.507,0.23
t365,0.548,0.207
t366,0.499,0.194
t367,0.384,0.225
t368,0.262,0.294
t369,0.143,0.373
t370,0.032,0.432
t371,0,0.438
t372,0,0.437
t373,0,0.432
t374,0,0.425
t375,0,0.442
t376,0,0.388
t377,0,0.316
t378,0,0.301
t379,0,0.312
t380,0,0.322
t381,0,0.355
t382,0,0.382
t383,0,0.404
t384,0.018,0.394
t385,0.163,0.355
t386,0.359,0.327
t387,0.551,0.261
t388,0.664,0.177
t389,0.701,0.11
t390,0.64,0.062
t391,0.546,0.031
t392,0.396,0.017
t393,0.223,0.013
t394,0.055,0.016
t395,0,0.028
t396,0,0.048
t397,0,0.074
t398,0,0.102
t399,0,0.137
t400,0,0.183
t401,0,0.236
t402,0,0.291
t403,0,0.336
t404,0,0.374
t405,0,0.387
t406,0,0.379
t407,0,0.358
t408,0.052,0.303
t409,0.289,0.218
t410,0.481,0.194
t411,0.599,0.144
t412,0.663,0.101
t413,0.691,0.067
t414,0.674,0.048
t415,0.611,0.047
t416,0.477,0.06
t417,0.293,0.078
t418,0.073,0.11
t419,0,0.168
t420,0,0.201
t421,0,0.203
t422,0,0.178
t423,0,0.148
t424,0,0.13
t425,0,0.118
t426,0,0.113
t427,0,0.115
t428,0,0.128
t429,0,0.153
t430,0,0.186
t431,0,0.231
t432,0.044,0.251
t433,0.26,0.17
t434,0.46,0.137
t435,0.605,0.09
t436,0.67,0.055
t437,0.691,0.039
t438,0.656,0.04
t439,0.555,0.051
t440,0.424,0.07
t441,0.224,0.11
t442,0.047,0.178
t443,0,0.237
t444,0,0.251
t445,0,0.233
t446,0,0.216
t447,0,0.161
t448,0,0.133
t449,0,0.146
t450,0,0.175
t451,0,0.179
t452,0,0.179
t453,0,0.189
t454,0,0.203
t455,0,0.218
t456,0.03,0.201
t457,0.174,0.13
t458,0.309,0.1
t459,0.395,0.059
t460,0.457,0.029
t461,0.517,0.016
t462,0.537,0.011
t463,0.421,0.012
t464,0.291,0.025
t465,0.149,0.057
t466,0.032,0.108
t467,0,0.227
t468,0,0.448
t469,0,0.63
t470,0,0.737
t471,0,0.791
t472,0,0.803
t473,0,0.77
t474,0,0.731
t475,0,0.706
t476,0,0.665
t477,0,0.587
t478,0,0.565
t479,0,0.572
t480,0.028,0.592
t481,0.191,0.665
t482,0.346,0.679
t483,0.462,0.598
t484,0.558,0.507
t485,0.628,0.437
t486,0.635,0.367
t487,0.597,0.296
t488,0.466,0.253
t489,0.274,0.253
t490,0.065,0.273
t491,0,0.383
t492,0,0.501
t493,0,0.568
t494,0,0.591
t495,0,0.58
t496,0,0.586
t497,0,0.599
t498,0,0.577
t499,0,0.501
t500,0,0.439
t501,0,0.403
t502,0,0.408
t503,0,0.411
t504,0.034,0.386
t505,0.261,0.361
t506,0.491,0.334
t507,0.645,0.249
t508,0.733,0.166
t509,0.762,0.099
t510,0.738,0.048
t511,0.654,0.024
t512,0.517,0.017
t513,0.317,0.015
t514,0.084,0.021
t515,0,0.045
t516,0,0.093
t517,0,0.138
t518,0,0.16
t519,0,0.179
t520,0,0.19
t521,0,0.19
t522,0,0.179
t523,0,0.161
t524,0,0.156
t525,0,0.158
t526,0,0.168
t527,0,0.175
t528,0.057,0.163
t529,0.288,0.088
t530,0.493,0.031
t531,0.635,0.001
t532,0.713,0
t533,0.74,0
t534,0.714,0
t535,0.633,0
t536,0.495,0
t537,0.297,0
t538,0.075,0.005
t539,0,0.016
t540,0,0.014
t541,0,0.007
t542,0,0.003
t543,0,0.001
t544,0,0.001
t545,0,0.001
t546,0,0.002
t547,0,0.005
t548,0,0.009
t549,0,0.015
t550,0,0.026
t551,0,0.047
t552,0.048,0.071
t553,0.244,0.057
t554,0.424,0.054
t555,0.547,0.05
t556,0.606,0.037
t557,0.63,0.027
t558,0.589,0.022
t559,0.526,0.025
t560,0.408,0.036
t561,0.236,0.053
t562,0.064,0.099
t563,0,0.177
t564,0,0.199
t565,0,0.18
t566,0,0.149
t567,0,0.125
t568,0,0.116
t569,0,0.119
t570,0,0.128
t571,0,0.144
t572,0,0.16
t573,0,0.165
t574,0,0.159
t575,0,0.157
t576,0.035,0.153
t577,0.19,0.094
t578,0.367,0.07
t579,0.517,0.045
t580,0.639,0.022
t581,0.712,0.013
t582,0.664,0.01
t583,0.594,0.009
t584,0.467,0.007
t585,0.253,0.006
t586,0.055,0.007
t587,0,0.019
t588,0,0.045
t589,0,0.077
t590,0,0.122
t591,0,0.168
t592,0,0.21
t593,0,0.28
t594,0,0.352
t595,0,0.414
t596,0,0.479
t597,0,0.519
t598,0,0.55
t599,0,0.585
t600,0.034,0.56
t601,0.179,0.459
t602,0.321,0.471
t603,0.47,0.449
t604,0.609,0.348
t605,0.663,0.245
t606,0.674,0.172
t607,0.603,0.14
t608,0.455,0.134
t609,0.274,0.138
t610,0.067,0.175
t611,0,0.22
t612,0,0.208
t613,0,0.172
t614,0,0.127
t615,0,0.095
t616,0,0.071
t617,0,0.062
t618,0,0.08
t619,0,0.118
t620,0,0.155
t621,0,0.193
t622,0,0.257
t623,0,0.35
t624,0.05,0.418
t625,0.274,0.343
t626,0.48,0.403
t627,0.623,0.341
t628,0.712,0.233
t629,0.74,0.149
t630,0.711,0.104
t631,0.63,0.094
t632,0.488,0.106
t633,0.301,0.13
t634,0.08,0.195
t635,0,0.298
t636,0,0.325
t637,0,0.302
t638,0,0.256
t639,0,0.21
t640,0,0.167
t641,0,0.141
t642,0,0.129
t643,0,0.12
t644,0,0.121
t645,0,0.131
t646,0,0.152
t647,0,0.183
t648,0.047,0.199
t649,0.237,0.134
t650,0.441,0.109
t651,0.576,0.076
t652,0.664,0.046
t653,0.699,0.036
t654,0.643,0.046
t655,0.502,0.07
t656,0.381,0.107
t657,0.22,0.155
t658,0.065,0.211
t659,0,0.286
t660,0,0.308
t661,0,0.3
t662,0,0.289
t663,0,0.278
t664,0,0.255
t665,0,0.225
t666,0,0.198
t667,0,0.181
t668,0,0.168
t669,0,0.159
t670,0,0.179
t671,0,0.217
t672,0.025,0.237
t673,0.143,0.201
t674,0.319,0.234
t675,0.454,0.252
t676,0.555,0.234
t677,0.576,0.211
t678,0.609,0.2
t679,0.561,0.2
t680,0.386,0.227
t681,0.226,0.287
t682,0.065,0.367
t683,0,0.416
t684,0,0.403
t685,0,0.377
t686,0,0.356
t687,0,0.343
t688,0,0.312
t689,0,0.273
t690,0,0.245
t691,0,0.227
t692,0,0.214
t693,0,0.207
t694,0,0.21
t695,0,0.223
t696,0.078,0.23
t697,0.329,0.2
t698,0.528,0.243
t699,0.663,0.264
t700,0.741,0.267
t701,0.766,0.273
t702,0.744,0.289
t703,0.671,0.309
t704,0.53,0.328
t705,0.329,0.341
t706,0.096,0.309
t707,0,0.258
t708,0,0.196
t709,0,0.148
t710,0,0.133
t711,0,0.133
t712,0,0.122
t713,0,0.093
t714,0,0.067
t715,0,0.058
t716,0,0.051
t717,0,0.041
t718,0,0.04
t719,0,0.048
t720,0.078,0.061
t721,0.289,0.026
t722,0.483,0.017
t723,0.599,0.039
t724,0.649,0.054
t725,0.645,0.051
t726,0.482,0.038
t727,0.435,0.022
t728,0.346,0.014
t729,0.193,0.014
t730,0.046,0.017
t731,0,0.045
t732,0,0.089
t733,0,0.136
t734,0,0.244
t735,0,0.394
t736,0,0.544
t737,0,0.647
t738,0,0.693
