City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Solar,YCurrent_S2_Solar,YCurrent_S3_Solar,Y2030_S1_Solar,Y2030_S2_Solar,Y2030_S3_Solar,Y2040_S1_Solar,Y2040_S2_Solar,Y2040_S3_Solar,Y2050_S1_Solar,Y2050_S2_Solar,Y2050_S3_Solar
Wuhai,Inner Mongolia,881.7028787,750.4052841,628.3669101,800.119802,691.8790299,591.001629,761.1431162,663.9231822,573.1653011,719.0991398,633.80183,553.9858827,31.04748129,31.04748129,31.03131112,35.37492647,35.34230022,35.28783824,38.71464661,38.54524557,38.51732722,56.57117438,55.85686804,55.11932841
Xingtai,Hebei,921.7909329,778.1312568,645.4345631,825.3839213,708.9712479,601.278874,778.5738904,675.3981505,579.8528605,726.8202066,638.3375666,556.2780278,38.62261703,38.5754052,38.4918313,41.70802816,41.66474879,41.57085874,44.38960275,44.35398093,44.21723049,65.24230098,64.32263409,63.32282096
Zhangjiagang,Jiangsu ,894.3831627,758.3171899,632.5740055,807.592242,696.049433,592.8132141,764.776259,665.3362238,573.2086249,719.0713969,632.5508887,552.2834432,16.41330133,16.41330185,16.37275084,23.91318071,23.91318536,23.85215144,30.6792443,30.66628505,30.56456058,40.27943042,40.27943042,40.15531951
Zhangjiakou,Hebei,908.8967254,768.9771607,639.7104995,807.6329633,696.4034001,593.4721336,758.0546823,660.9720284,571.0053161,700.4701427,620.0340058,545.2558079,42.91547855,42.90802057,42.79756642,65.2525266,64.67575163,63.94487187,80.3757107,78.62262084,75.75409813,91.36799336,89.69356192,86.97684222
Zhanjiang,Guangdong ,901.8473785,763.6977017,636.0463482,813.598477,700.3849923,595.618281,769.9946159,669.1070446,575.6529961,723.4379107,635.7124431,554.3428141,19.97163983,19.97163983,19.97163983,26.52735155,26.52735155,26.39933953,31.62794761,31.53793511,31.4932567,42.60870648,42.55713791,42.44318281
Jiuquan,Gansu,1032.670355,861.7866371,702.0786363,904.9292471,770.4707703,644.1321572,851.5264103,732.2147269,619.7769472,792.0790909,689.6617864,592.727376,95.91305599,95.06837141,93.52110592,96.89163574,96.20825816,94.95728291,96.85877991,96.28323629,94.93131828,97.00581964,96.39102589,95.18778414
Fuzhou,Fujian,911.8892958,770.942272,640.726285,820.7875388,705.5869041,598.998257,776.3143344,673.6879342,578.6399554,728.3286076,639.2824902,556.7031047,20.11130124,20.11130124,19.94216217,26.41620196,26.39573849,26.31320092,31.9654818,31.9654818,31.91613183,47.72160578,47.66601558,47.24645391
Xiangyang,Hubei,1034.772029,859.8883205,698.2065233,906.9543894,768.5025994,640.2052781,842.8196862,722.7686457,611.2978895,769.935959,670.8000842,578.4683095,56.31841632,56.19051081,56.02603152,87.57525429,85.82707714,83.03443788,93.16728233,91.61482324,89.27349071,95.59586557,94.58229139,92.6793447
Xianning,Hubei,1062.414784,879.8011195,711.0227858,924.3309865,781.213682,648.5988538,857.2452744,733.3116594,618.2609553,781.5100843,679.224836,584.0101363,59.38170991,59.2576329,59.12621992,92.04094837,90.52198101,87.90509968,94.46214009,93.25445574,90.94346366,95.71636253,94.79219416,93.44978276
Deyang,Sichuan,1114.344428,924.6213362,747.594572,963.4859692,816.2912334,678.3282333,898.4198358,769.5069973,648.3616717,824.9872976,716.7557285,614.6140419,99.21530021,98.85817512,98.31463262,99.14663782,98.75035833,98.19732029,99.074116,98.66190753,98.08047959,99.00579255,98.586767,97.96538252
Tongchun,Sichuan,1152.544472,947.9721693,758.0148094,989.1617863,830.9343359,683.4974259,918.0509756,779.9431582,650.9692779,837.7859689,722.4257664,614.3232386,97.93269848,97.44781729,96.60180713,98.03356341,97.60760374,96.817846,97.95499027,97.54067055,96.70288057,97.95489421,97.50826856,96.73022851
Jiaxing,Zhejiang,888.6605719,754.2524899,630.0361162,801.8786071,691.993223,590.2829901,759.6236927,661.6841857,570.9365595,714.9273324,629.6241909,550.4786989,18.41581994,18.41558777,18.26884053,24.59004952,24.52197367,24.43732518,30.01403027,29.99656844,29.87474098,38.37287149,38.33964639,38.22908381
Lishui,Zhejiang,1061.569254,880.5802375,713.3152873,906.111923,769.2235353,642.4304741,839.6412775,721.5636242,612.02769,765.0576957,668.1320107,577.9918748,97.44273693,96.94797172,95.98711622,97.52805184,97.05869978,96.16566452,97.45644584,96.94647384,96.03332754,97.42036528,96.92739414,96.03819553
