City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_CAPEX_share_pct,YCurrent_S2_CAPEX_share_pct,YCurrent_S3_CAPEX_share_pct,Y2030_S1_CAPEX_share_pct,Y2030_S2_CAPEX_share_pct,Y2030_S3_CAPEX_share_pct,Y2040_S1_CAPEX_share_pct,Y2040_S2_CAPEX_share_pct,Y2040_S3_CAPEX_share_pct,Y2050_S1_CAPEX_share_pct,Y2050_S2_CAPEX_share_pct,Y2050_S3_CAPEX_share_pct
Lijiang,Yunnan ,1004.072477,844.6666749,695.5501331,880.5605325,756.048574,638.9561032,829.382841,719.2960362,615.4460746,772.4212225,678.4300002,589.3515337,48.12346434,43.08886703,36.4201772,43.14921229,38.34203079,32.24251597,40.65398831,36.03024902,30.28117007,37.48794989,33.16563132,27.92097827
Lishui,Zhejiang,1061.569254,880.5802375,713.3152873,906.111923,769.2235353,642.4304741,839.6412775,721.5636242,612.02769,765.0576957,668.1320107,577.9918748,55.23435938,49.43319065,41.4568893,50.370087,44.48895906,36.80835213,47.74047832,41.90652063,34.48461539,44.24592137,38.57329034,31.59317579
Liupanshui,Guizhou ,1018.120703,849.7478341,693.3605595,882.8676262,752.9958742,631.9084062,825.5631523,711.9538459,605.7728603,761.5511126,666.164549,576.6628453,50.64150659,45.1540475,37.76069673,45.59439062,40.21586379,33.30418853,42.95724794,37.71566516,31.13479419,39.54214894,34.56268854,28.48701651
Lu’an,Anhui ,1041.160316,864.4868615,701.3238425,892.5137141,758.399569,634.1976004,828.1861633,712.3398526,604.8938468,755.9708828,660.6745388,572.0692265,54.23774507,48.39917746,40.40930721,49.34973214,43.47704087,35.83922623,46.69045246,40.88356203,33.52612706,43.16588417,37.54414215,30.65371517
Maoming,Guangdong ,957.4848533,803.6727674,661.6474809,853.8384139,729.3240226,614.1936802,801.9015733,692.0847429,590.4421659,740.2008965,648.0797975,562.6150064,52.15229109,46.16487284,38.16699002,48.33650834,42.3500198,34.6577767,46.05345727,40.1311827,32.68953074,42.92481355,37.18053288,30.17213801
Rizhao,Shandong,912.7368353,771.7336814,641.4738707,817.1588714,703.1682611,597.7059388,771.4006505,670.3539972,576.7706525,721.5166591,634.6286761,554.0406897,50.61118276,44.61612855,36.73859356,46.7542457,40.81613928,33.30807117,44.56940647,38.7224938,31.48308763,41.87184291,36.19694254,29.34549628
Tangshan,Hebei,920.8745548,777.5086214,645.0779809,823.9969221,708.0115244,600.7092207,776.7682663,674.1516243,579.1189251,721.3503553,634.6143775,554.1227298,50.90258542,44.90558201,37.00033811,47.05990462,41.1087178,33.55944207,44.83902318,38.97522244,31.69436276,41.86222576,36.19587479,29.3535269
Tongchun,Sichuan,1152.544472,947.9721693,758.0148094,989.1617863,830.9343359,683.4974259,918.0509756,779.9431582,650.9692779,837.7859689,722.4257664,614.3232386,53.76652486,48.48204701,41.1239538,48.84104537,43.53752933,36.49451307,46.14970262,40.91919357,34.1413747,42.56301236,37.52213561,31.19182913
Tongilao,Inner Mongolia,796.6835953,689.3464356,589.2825249,732.5509398,643.3209633,559.8817783,704.596322,623.254542,547.0569422,678.5571979,604.5350913,535.0642691,42.34864007,36.96037616,30.25117198,38.73837286,33.62456479,27.45039572,36.95903186,32.01597525,26.13437446,35.16973102,30.41908671,24.84666625
Urumqi,Xinjiang ,1205.652455,992.6206414,791.4117835,1067.74232,893.7840042,728.4264487,1009.921897,852.2983285,701.9330341,945.357408,806.0095359,672.4134195,43.77089543,39.75883593,34.30153177,38.62826946,34.9122554,30.03996054,36.05429417,32.54302495,28.01891975,32.80800467,29.61160939,25.57944034
Wuhai,Inner Mongolia,881.7028787,750.4052841,628.3669101,800.119802,691.8790299,591.001629,761.1431162,663.9231822,573.1653011,719.0991398,633.80183,553.9858827,46.32506818,40.75425679,33.56863711,42.52574156,37.13104979,30.40631415,40.42308959,35.1749404,28.75139482,37.89941986,32.87417885,26.85295516
Xiangyang,Hubei,1034.772029,859.8883205,698.2065233,906.9543894,768.5025994,640.2052781,842.8196862,722.7686457,611.2978895,769.935959,670.8000842,578.4683095,53.19988881,47.43782868,39.58172218,48.91746047,43.13922472,35.59496652,46.2792927,40.57986939,33.32550843,42.74769895,37.24802458,30.47305665
Xianning,Hubei,1062.414784,879.8011195,711.0227858,924.3309865,781.213682,648.5988538,857.2452744,733.3116594,618.2609553,781.5100843,679.224836,584.0101363,53.99051643,48.25599619,40.37491619,49.56921073,43.79734283,36.2160315,46.90709542,41.19818949,33.89156682,43.35252213,37.8227851,30.97706582
Xingtai,Hebei,921.7909329,778.1312568,645.4345631,825.3839213,708.9712479,601.278874,778.5738904,675.3981505,579.8528605,726.8202066,638.3375666,556.2780278,50.93507759,44.93653337,37.02607559,47.12128527,41.16621956,33.60683802,44.92888452,39.05755809,31.76004425,42.17623262,36.47228796,29.56365311
Zhangjiagang,Jiangsu ,894.3831627,758.3171899,632.5740055,807.592242,696.049433,592.8132141,764.776259,665.3362238,573.2086249,719.0713969,632.5508887,552.2834432,49.93449138,43.92664398,36.07947447,46.31793369,40.37870471,32.89310174,44.23144402,38.38414112,31.15930601,41.72998815,36.04127793,29.17291258
Zhangjiakou,Hebei,908.8967254,768.9771607,639.7104995,807.6329633,696.4034001,593.4721336,758.0546823,660.9720284,571.0053161,700.4701427,620.0340058,545.2558079,50.47186054,44.47643244,36.60945615,46.3198128,40.40066641,32.94938574,43.88248609,38.08568267,30.95700723,40.61846774,35.08145935,28.47159025
Zhanjiang,Guangdong ,901.8473785,763.6977017,636.0463482,813.598477,700.3849923,595.618281,769.9946159,669.1070446,575.6529961,723.4379107,635.7124431,554.3428141,50.21301651,44.20606248,36.33882865,46.59306303,40.64617291,33.13184334,44.4981597,38.63888459,31.38192616,41.982626,36.27773288,29.37505846
