t,s,w
t332,0,0.928
t333,0,0.93
t334,0,0.907
t335,0,0.887
t336,0.048,0.877
t337,0.337,0.949
t338,0.582,0.958
t339,0.624,0.925
t340,0.528,0.884
t341,0.467,0.832
t342,0.411,0.773
t343,0.276,0.682
t344,0.155,0.558
t345,0.033,0.435
t346,0,0.347
t347,0,0.322
t348,0,0.283
t349,0,0.224
t350,0,0.152
t351,0,0.089
t352,0,0.042
t353,0,0.014
t354,0,0.003
t355,0,0
t356,0,0
t357,0,0
t358,0,0.002
t359,0,0.008
t360,0.068,0.021
t361,0.385,0.024
t362,0.612,0.015
t363,0.751,0.009
t364,0.817,0.017
t365,0.818,0.035
t366,0.755,0.047
t367,0.615,0.052
t368,0.406,0.053
t369,0.126,0.057
t370,0,0.055
t371,0,0.054
t372,0,0.07
t373,0,0.098
t374,0,0.126
t375,0,0.153
t376,0,0.197
t377,0,0.241
t378,0,0.243
t379,0,0.233
t380,0,0.231
t381,0,0.236
t382,0,0.219
t383,0,0.183
t384,0.036,0.151
t385,0.362,0.093
t386,0.588,0.019
t387,0.722,0.001
t388,0.778,0.001
t389,0.783,0.005
t390,0.724,0.008
t391,0.589,0.01
t392,0.385,0.012
t393,0.113,0.006
t394,0,0.002
t395,0,0.01
t396,0,0.04
t397,0,0.073
t398,0,0.113
t399,0,0.198
t400,0,0.231
t401,0,0.254
t402,0,0.334
t403,0,0.328
t404,0,0.269
t405,0,0.249
t406,0,0.287
t407,0,0.369
t408,0.049,0.431
t409,0.228,0.357
t410,0.303,0.155
t411,0.329,0.118
t412,0.29,0.208
t413,0.206,0.179
t414,0.155,0.122
t415,0.105,0.085
t416,0.057,0.087
t417,0.016,0.105
t418,0,0.138
t419,0,0.174
t420,0,0.199
t421,0,0.207
t422,0,0.201
t423,0,0.177
t424,0,0.121
t425,0,0.055
t426,0,0.012
t427,0,0.001
t428,0,0
t429,0,0.018
t430,0,0.102
t431,0,0.206
t432,0.011,0.3
t433,0.103,0.296
t434,0.234,0.167
t435,0.368,0.243
t436,0.436,0.243
t437,0.393,0.193
t438,0.307,0.235
t439,0.238,0.328
t440,0.137,0.367
t441,0.028,0.435
t442,0,0.523
t443,0,0.529
t444,0,0.473
t445,0,0.429
t446,0,0.402
t447,0,0.347
t448,0,0.312
t449,0,0.308
t450,0,0.314
t451,0,0.331
t452,0,0.317
t453,0,0.27
t454,0,0.219
t455,0,0.183
t456,0.068,0.168
t457,0.353,0.097
t458,0.562,0.077
t459,0.692,0.164
t460,0.764,0.267
t461,0.764,0.341
t462,0.702,0.387
t463,0.553,0.395
t464,0.356,0.376
t465,0.107,0.362
t466,0,0.332
t467,0,0.238
t468,0,0.157
t469,0,0.113
t470,0,0.092
t471,0,0.08
t472,0,0.096
t473,0,0.149
t474,0,0.237
t475,0,0.337
t476,0,0.428
t477,0,0.489
t478,0,0.51
t479,0,0.485
t480,0.097,0.446
t481,0.391,0.327
t482,0.601,0.126
t483,0.728,0.206
t484,0.782,0.253
t485,0.779,0.257
t486,0.712,0.254
t487,0.565,0.242
t488,0.354,0.225
t489,0.098,0.231
t490,0,0.202
t491,0,0.167
t492,0,0.144
t493,0,0.125
t494,0,0.101
t495,0,0.08
t496,0,0.079
t497,0,0.094
t498,0,0.118
t499,0,0.153
t500,0,0.199
t501,0,0.24
t502,0,0.239
t503,0,0.218
t504,0.099,0.212
t505,0.393,0.21
t506,0.601,0.108
t507,0.729,0.103
t508,0.777,0.255
t509,0.775,0.34
t510,0.711,0.391
t511,0.575,0.374
t512,0.374,0.323
t513,0.115,0.308
t514,0,0.274
t515,0,0.235
t516,0,0.22
t517,0,0.226
t518,0,0.212
t519,0,0.168
t520,0,0.121
t521,0,0.08
t522,0,0.049
t523,0,0.031
t524,0,0.022
t525,0,0.018
t526,0,0.02
t527,0,0.027
t528,0.095,0.042
t529,0.376,0.058
t530,0.583,0.027
t531,0.713,0.004
t532,0.763,0.002
t533,0.765,0.005
t534,0.707,0.012
t535,0.537,0.019
t536,0.342,0.04
t537,0.1,0.075
t538,0,0.106
t539,0,0.119
t540,0,0.122
t541,0,0.118
t542,0,0.1
t543,0,0.068
t544,0,0.048
t545,0,0.047
t546,0,0.056
t547,0,0.064
t548,0,0.064
t549,0,0.062
t550,0,0.093
t551,0,0.166
t552,0.057,0.246
t553,0.281,0.25
t554,0.496,0.128
t555,0.638,0.179
t556,0.685,0.231
t557,0.687,0.169
t558,0.621,0.112
t559,0.424,0.063
t560,0.217,0.04
t561,0.051,0.027
t562,0,0.026
t563,0,0.026
t564,0,0.023
t565,0,0.018
t566,0,0.012
t567,0,0.005
t568,0,0.002
t569,0,0.099
t570,0,0.425
t571,0,0.682
t572,0,0.765
t573,0,0.773
t574,0,0.713
t575,0,0.659
t576,0.008,0.615
t577,0.054,0.638
t578,0.164,0.822
t579,0.316,0.827
t580,0.479,0.784
t581,0.653,0.746
t582,0.689,0.729
t583,0.589,0.726
t584,0.387,0.722
t585,0.124,0.672
t586,0,0.655
t587,0,0.601
t588,0,0.482
t589,0,0.341
t590,0,0.208
t591,0,0.107
t592,0,0.063
t593,0,0.046
t594,0,0.053
t595,0,0.076
t596,0,0.103
t597,0,0.126
t598,0,0.125
t599,0,0.099
t600,0.117,0.065
t601,0.413,0.016
t602,0.618,0.009
t603,0.748,0.007
t604,0.799,0.008
t605,0.8,0.011
t606,0.739,0.01
t607,0.594,0.006
t608,0.379,0.001
t609,0.124,0
t610,0,0
t611,0,0
t612,0,0.006
t613,0,0.042
t614,0,0.113
t615,0,0.18
t616,0,0.228
t617,0,0.264
t618,0,0.297
t619,0,0.32
t620,0,0.341
t621,0,0.355
t622,0,0.374
t623,0,0.45
t624,0.065,0.538
t625,0.249,0.402
t626,0.447,0.537
t627,0.537,0.727
t628,0.538,0.72
t629,0.349,0.655
t630,0.35,0.587
t631,0.257,0.483
t632,0.122,0.345
t633,0.022,0.264
t634,0,0.162
t635,0,0.093
t636,0,0.059
t637,0,0.038
t638,0,0.028
t639,0,0.032
t640,0,0.077
t641,0,0.195
t642,0,0.329
t643,0,0.441
t644,0,0.477
t645,0,0.445
t646,0,0.379
t647,0,0.324
t648,0.063,0.264
t649,0.298,0.139
t650,0.478,0.126
t651,0.372,0.139
t652,0.491,0.102
t653,0.598,0.08
t654,0.564,0.054
t655,0.375,0.036
t656,0.222,0.022
t657,0.057,0.015
t658,0,0.012
t659,0,0.016
t660,0,0.02
t661,0,0.028
t662,0,0.045
t663,0,0.064
t664,0,0.082
t665,0,0.095
t666,0,0.116
t667,0,0.145
t668,0,0.192
t669,0,0.259
t670,0,0.296
t671,0,0.285
t672,0.095,0.282
t673,0.306,0.208
t674,0.43,0.164
t675,0.389,0.268
t676,0.385,0.22
t677,0.328,0.192
t678,0.284,0.201
t679,0.2,0.211
t680,0.118,0.221
t681,0.033,0.234
t682,0,0.246
t683,0,0.264
t684,0,0.274
t685,0,0.299
t686,0,0.332
t687,0,0.339
t688,0,0.308
t689,0,0.249
t690,0,0.177
t691,0,0.112
t692,0,0.058
t693,0,0.019
t694,0,0.011
t695,0,0.005
t696,0.038,0.001
t697,0.142,0.003
t698,0.212,0.005
t699,0.166,0.013
t700,0.142,0.058
t701,0.14,0.096
t702,0.129,0.171
t703,0.092,0.255
t704,0.037,0.356
t705,0.007,0.503
t706,0,0.625
t707,0,0.711
t708,0,0.781
t709,0,0.77
t710,0,0.738
t711,0,0.705
t712,0,0.694
t713,0,0.554
t714,0,0.615
t715,0,0.592
t716,0,0.542
t717,0,0.481
t718,0,0.432
t719,0,0.406
t720,0.035,0.379
t721,0.317,0.469
t722,0.555,0.395
t723,0.623,0.343
t724,0.575,0.278
t725,0.516,0.199
t726,0.438,0.154
t727,0.21,0.134
t728,0.101,0.141
t729,0.032,0.141
t730,0,0.136
t731,0,0.099
t732,0,0.055
t733,0,0.032
t734,0,0.036
t735,0,0.073
t736,0,0.132
t737,0,0.225
t738,0,0.31
t739,0,0.325
t740,0,0.323
t741,0,0.332
t742,0,0.322
t743,0,0.313
t744,0.091,0.289
t745,0.354,0.133
t746,0.573,0.11
t747,0.713,0.235
t748,0.773,0.272
t749,0.778,0.297
t750,0.72,0.302
t751,0.588,0.291
t752,0.391,0.27
t753,0.135,0.334
t754,0,0.513
t755,0,0.653
t756,0,0.733
t757,0,0.728
t758,0,0.69
t759,0,0.668
t760,0,0.663
t761,0,0.648
t762,0,0.625
t763,0,0.615
t764,0,0.62
t765,0,0.629
t766,0,0.633
t767,0,0.651
t768,0.073,0.623
t769,0.244,0.516
t770,0.464,0.606
t771,0.522,0.622
t772,0.535,0.612
t773,0.572,0.59
t774,0.514,0.537
t775,0.362,0.415
t776,0.181,0.237
t777,0.047,0.138
t778,0,0.11
t779,0,0.075
t780,0,0.045
t781,0,0.035
t782,0,0.054
t783,0,0.113
t784,0,0.213
t785,0,0.296
t786,0,0.323
t787,0,0.295
t788,0,0.309
t789,0,0.38
t790,0,0.406
t791,0,0.351
t792,0.04,0.358
t793,0.148,0.389
t794,0.071,0.395
t795,0.108,0.42
t796,0.149,0.43
t797,0.162,0.386
t798,0.13,0.306
t799,0.148,0.249
t800,0.229,0.221
t801,0.112,0.206
t802,0,0.233
t803,0,0.192
t804,0,0.093
t805,0,0.03
t806,0,0.01
t807,0,0.008
t808,0,0.008
t809,0,0.017
t810,0,0.047
t811,0,0.118
t812,0,0.2
t813,0,0.252
t814,0,0.305
t815,0,0.382
t816,0.037,0.41
t817,0.169,0.257
t818,0.421,0.277
t819,0.619,0.613
t820,0.651,0.697
t821,0.439,0.715
t822,0.384,0.736
t823,0.313,0.713
t824,0.218,0.635
t825,0.077,0.704
t826,0,0.841
t827,0,0.877
t828,0,0.879
t829,0,0.879
t830,0,0.876
t831,0,0.872
t832,0,0.862
t833,0,0.848
t834,0,0.832
t835,0,0.817
t836,0,0.793
t837,0,0.77
t838,0,0.756
t839,0,0.727
t840,0.102,0.627
t841,0.329,0.334
t842,0.509,0.188
t843,0.634,0.315
t844,0.71,0.3
t845,0.704,0.266
t846,0.624,0.264
t847,0.407,0.252
t848,0.104,0.225
t849,0.022,0.266
t850,0,0.362
t851,0,0.448
t852,0,0.461
t853,0,0.451
t854,0,0.473
t855,0,0.539
t856,0,0.554
t857,0,0.468
