t,s,w
t328,0,0.971
t329,0,0.959
t330,0,0.933
t331,0,0.907
t332,0,0.898
t333,0,0.886
t334,0,0.845
t335,0,0.787
t336,0.054,0.754
t337,0.386,0.747
t338,0.611,0.845
t339,0.744,0.786
t340,0.798,0.669
t341,0.782,0.55
t342,0.695,0.471
t343,0.526,0.42
t344,0.26,0.342
t345,0.009,0.305
t346,0,0.421
t347,0,0.578
t348,0,0.69
t349,0,0.763
t350,0,0.797
t351,0,0.814
t352,0,0.816
t353,0,0.804
t354,0,0.784
t355,0,0.756
t356,0,0.724
t357,0,0.68
t358,0,0.672
t359,0,0.691
t360,0.063,0.697
t361,0.359,0.544
t362,0.571,0.42
t363,0.694,0.544
t364,0.743,0.531
t365,0.725,0.531
t366,0.638,0.519
t367,0.474,0.489
t368,0.225,0.395
t369,0.008,0.407
t370,0,0.466
t371,0,0.571
t372,0,0.703
t373,0,0.795
t374,0,0.812
t375,0,0.783
t376,0,0.74
t377,0,0.666
t378,0,0.571
t379,0,0.474
t380,0,0.396
t381,0,0.332
t382,0,0.27
t383,0,0.226
t384,0.064,0.199
t385,0.36,0.11
t386,0.575,0.079
t387,0.703,0.069
t388,0.759,0.045
t389,0.742,0.027
t390,0.654,0.016
t391,0.488,0.009
t392,0.234,0.006
t393,0.009,0.024
t394,0,0.067
t395,0,0.154
t396,0,0.265
t397,0,0.356
t398,0,0.401
t399,0,0.424
t400,0,0.436
t401,0,0.432
t402,0,0.41
t403,0,0.374
t404,0,0.331
t405,0,0.31
t406,0,0.292
t407,0,0.274
t408,0.04,0.245
t409,0.284,0.149
t410,0.514,0.026
t411,0.644,0.003
t412,0.691,0.008
t413,0.667,0.005
t414,0.574,0
t415,0.406,0
t416,0.17,0.001
t417,0.005,0.017
t418,0,0.064
t419,0,0.125
t420,0,0.188
t421,0,0.285
t422,0,0.448
t423,0,0.606
t424,0,0.682
t425,0,0.688
t426,0,0.669
t427,0,0.642
t428,0,0.614
t429,0,0.59
t430,0,0.593
t431,0,0.612
t432,0.069,0.611
t433,0.352,0.425
t434,0.56,0.232
t435,0.652,0.266
t436,0.638,0.422
t437,0.563,0.601
t438,0.421,0.668
t439,0.287,0.666
t440,0.138,0.63
t441,0.006,0.718
t442,0,0.829
t443,0,0.86
t444,0,0.849
t445,0,0.84
t446,0,0.831
t447,0,0.826
t448,0,0.82
t449,0,0.806
t450,0,0.782
t451,0,0.75
t452,0,0.714
t453,0,0.687
t454,0,0.677
t455,0,0.683
t456,0.078,0.668
t457,0.38,0.497
t458,0.59,0.507
t459,0.713,0.566
t460,0.761,0.591
t461,0.738,0.549
t462,0.647,0.501
t463,0.484,0.446
t464,0.237,0.362
t465,0.013,0.416
t466,0,0.516
t467,0,0.61
t468,0,0.694
t469,0,0.773
t470,0,0.841
t471,0,0.872
t472,0,0.878
t473,0,0.887
t474,0,0.887
t475,0,0.893
t476,0,0.891
t477,0,0.88
t478,0,0.871
t479,0,0.865
t480,0.082,0.849
t481,0.37,0.74
t482,0.577,0.787
t483,0.7,0.808
t484,0.751,0.719
t485,0.734,0.609
t486,0.647,0.506
t487,0.483,0.41
t488,0.241,0.282
t489,0.016,0.214
t490,0,0.154
t491,0,0.157
t492,0,0.259
t493,0,0.401
t494,0,0.54
t495,0,0.638
t496,0,0.697
t497,0,0.71
t498,0,0.674
t499,0,0.639
t500,0,0.631
t501,0,0.643
t502,0,0.682
t503,0,0.741
t504,0.067,0.756
t505,0.334,0.601
t506,0.544,0.434
t507,0.666,0.566
t508,0.726,0.669
t509,0.709,0.722
t510,0.631,0.732
t511,0.485,0.686
t512,0.249,0.649
t513,0.016,0.726
t514,0,0.785
t515,0,0.813
t516,0,0.844
t517,0,0.865
t518,0,0.86
t519,0,0.849
t520,0,0.827
t521,0,0.793
t522,0,0.761
t523,0,0.741
t524,0,0.726
t525,0,0.71
t526,0,0.692
t527,0,0.683
t528,0.09,0.65
t529,0.378,0.426
t530,0.587,0.362
t531,0.709,0.428
t532,0.761,0.42
t533,0.744,0.425
t534,0.659,0.395
t535,0.497,0.348
t536,0.25,0.256
t537,0.02,0.187
t538,0,0.137
t539,0,0.099
t540,0,0.079
t541,0,0.084
t542,0,0.114
t543,0,0.162
t544,0,0.231
t545,0,0.264
t546,0,0.251
t547,0,0.221
t548,0,0.223
t549,0,0.222
t550,0,0.203
t551,0,0.18
t552,0.031,0.145
t553,0.159,0.07
t554,0.312,0.034
t555,0.459,0.034
t556,0.534,0.084
t557,0.615,0.144
t558,0.64,0.201
t559,0.482,0.241
t560,0.239,0.231
t561,0.02,0.201
t562,0,0.161
t563,0,0.184
t564,0,0.358
t565,0,0.618
t566,0,0.777
t567,0,0.833
t568,0,0.826
t569,0,0.844
t570,0,0.839
t571,0,0.799
t572,0,0.752
t573,0,0.697
t574,0,0.666
t575,0,0.644
t576,0.097,0.607
t577,0.398,0.485
t578,0.607,0.609
t579,0.73,0.563
t580,0.779,0.53
t581,0.764,0.539
t582,0.679,0.561
t583,0.518,0.585
t584,0.273,0.522
t585,0.03,0.491
t586,0,0.63
t587,0,0.745
t588,0,0.792
t589,0,0.802
t590,0,0.746
t591,0,0.7
t592,0,0.655
t593,0,0.598
t594,0,0.537
t595,0,0.488
t596,0,0.451
t597,0,0.421
t598,0,0.398
t599,0,0.379
t600,0.136,0.334
t601,0.429,0.137
t602,0.631,0.038
t603,0.747,0.038
t604,0.791,0.109
t605,0.769,0.161
t606,0.682,0.201
t607,0.521,0.221
t608,0.276,0.203
t609,0.032,0.233
t610,0,0.332
t611,0,0.521
t612,0,0.704
t613,0,0.795
t614,0,0.819
t615,0,0.837
t616,0,0.837
t617,0,0.797
t618,0,0.732
t619,0,0.682
t620,0,0.661
t621,0,0.672
t622,0,0.698
t623,0,0.727
t624,0.089,0.764
t625,0.346,0.63
t626,0.551,0.488
t627,0.672,0.751
t628,0.725,0.839
t629,0.714,0.902
t630,0.63,0.968
t631,0.468,0.986
t632,0.232,0.987
t633,0.019,0.981
t634,0,0.972
t635,0,0.967
t636,0,0.961
t637,0,0.955
t638,0,0.951
t639,0,0.949
t640,0,0.952
t641,0,0.948
t642,0,0.938
t643,0,0.918
t644,0,0.874
t645,0,0.811
t646,0,0.774
t647,0,0.754
t648,0.102,0.699
t649,0.377,0.601
t650,0.59,0.765
t651,0.718,0.66
t652,0.771,0.529
t653,0.756,0.44
t654,0.673,0.349
t655,0.513,0.238
t656,0.273,0.116
t657,0.036,0.021
t658,0,0
t659,0,0
t660,0,0.069
t661,0,0.311
t662,0,0.586
t663,0,0.718
t664,0,0.763
t665,0,0.788
t666,0,0.798
t667,0,0.803
t668,0,0.819
t669,0,0.84
t670,0,0.829
t671,0,0.792
t672,0.102,0.746
t673,0.346,0.583
t674,0.547,0.494
t675,0.655,0.615
t676,0.707,0.695
t677,0.681,0.705
t678,0.596,0.72
t679,0.431,0.663
t680,0.2,0.623
t681,0.02,0.668
t682,0,0.736
t683,0,0.773
t684,0,0.777
t685,0,0.788
t686,0,0.803
t687,0,0.872
t688,0,0.917
t689,0,0.913
t690,0,0.936
t691,0,0.955
t692,0,0.958
