City,Province,YCurrent_S1_Energy_Per_Tonne,YCurrent_S2_Energy_Per_Tonne,YCurrent_S3_Energy_Per_Tonne,Y2030_S1_Energy_Per_Tonne,Y2030_S2_Energy_Per_Tonne,Y2030_S3_Energy_Per_Tonne,Y2040_S1_Energy_Per_Tonne,Y2040_S2_Energy_Per_Tonne,Y2040_S3_Energy_Per_Tonne,Y2050_S1_Energy_Per_Tonne,Y2050_S2_Energy_Per_Tonne,Y2050_S3_Energy_Per_Tonne,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_CO2_per_tonne_steel,YCurrent_S2_CO2_per_tonne_steel,YCurrent_S3_CO2_per_tonne_steel,Y2030_S1_CO2_per_tonne_steel,Y2030_S2_CO2_per_tonne_steel,Y2030_S3_CO2_per_tonne_steel,Y2040_S1_CO2_per_tonne_steel,Y2040_S2_CO2_per_tonne_steel,Y2040_S3_CO2_per_tonne_steel,Y2050_S1_CO2_per_tonne_steel,Y2050_S2_CO2_per_tonne_steel,Y2050_S3_CO2_per_tonne_steel,YCurrent_S1_Grid_Cost,YCurrent_S2_Grid_Cost,YCurrent_S3_Grid_Cost,Y2030_S1_Grid_Cost,Y2030_S2_Grid_Cost,Y2030_S3_Grid_Cost,Y2040_S1_Grid_Cost,Y2040_S2_Grid_Cost,Y2040_S3_Grid_Cost,Y2050_S1_Grid_Cost,Y2050_S2_Grid_Cost,Y2050_S3_Grid_Cost
Laiwu ,Shandong ,16.55124381,12.0817947,7.849933072,15.83127939,11.57229271,7.526406278,15.28185293,11.17078899,7.272150915,14.82364014,10.83281145,7.055166316,945.8712664,795.5211248,656.6810672,841.8464035,720.9248734,609.0958599,789.9644079,683.7617511,585.4429815,727.9140797,639.6422561,557.6914225,0.00019,0.00014,0.00009,0.0002,0.00015,0.00009,0.00022,0.00016,0.0001,0.00026,0.00018,0.00011,1266.684945,1025.820465,803.8425361,1182.325297,965.3705563,765.2972043,1136.836092,932.6704763,744.3323924,1101.560997,906.6992361,727.366235
Lijiang,Yunnan ,16.31497751,11.91074934,7.742690026,15.72063644,11.48738326,7.472778731,15.25717861,11.15230429,7.259438624,14.86227574,10.87096917,7.079012382,1004.072477,844.6666749,695.5501331,880.5605325,756.048574,638.9561032,829.382841,719.2960362,615.4460746,772.4212225,678.4300002,589.3515337,0.00032,0.00023,0.00014,0.0003,0.00021,0.00014,0.00028,0.0002,0.00013,0.00027,0.00019,0.00012,1383.279869,1115.124236,866.3914659,1276.303813,1038.547296,817.6059666,1224.745749,1001.464105,793.8415719,1177.207836,967.4502887,772.2072881
Liupanshui,Guizhou ,16.32455547,11.91922495,7.74892045,15.74473613,11.50256904,7.480080275,15.27634177,11.16246376,7.265366138,14.88764465,10.88508784,7.085583322,1018.120703,849.7478341,693.3605595,882.8676262,752.9958742,631.9084062,825.5631523,711.9538459,605.7728603,761.5511126,666.164549,576.6628453,0.00031,0.00022,0.00014,0.0003,0.00021,0.00013,0.00028,0.0002,0.00013,0.00027,0.00019,0.00012,1359.045074,1093.544538,848.0669577,1250.111565,1015.750633,798.8704161,1197.00033,977.5452686,774.6864877,1148.199077,942.786485,752.498527
Lu’an,Anhui ,16.196177,11.82549449,7.684660781,15.64922358,11.42983069,7.432477632,15.1881278,11.09895833,7.220636323,14.80847297,10.82791597,7.044562319,1041.160316,864.4868615,701.3238425,892.5137141,758.399569,634.1976004,828.1861633,712.3398526,604.8938468,755.9708828,660.6745388,572.0692265,0.0003,0.00021,0.00013,0.00029,0.00021,0.00013,0.00028,0.0002,0.00013,0.00027,0.00019,0.00012,1328.79246,1069.07763,830.5767266,1222.778292,994.5299917,784.0739715,1167.922371,955.3843643,759.2618509,1117.314957,919.2497056,736.3692112
Maoming,Guangdong ,16.32478254,11.91640471,7.744034799,15.70039491,11.46846726,7.457999471,15.16060091,11.08079636,7.2122026,14.7823864,10.80137042,7.023995002,957.4848533,803.6727674,661.6474809,853.8384139,729.3240226,614.1936802,801.9015733,692.0847429,590.4421659,740.2008965,648.0797975,562.6150064,0.00018,0.00013,0.00008,0.00019,0.00013,0.00009,0.00019,0.00014,0.00009,0.00025,0.00018,0.00011,1253.342394,1016.012169,797.332967,1172.05376,957.716191,760.13627,1126.189275,924.7802772,739.1159169,1099.359026,904.44502,725.0201702
Rizhao,Shandong,16.44502424,12.00198066,7.799249523,15.85118714,11.57690595,7.52663611,15.39897266,11.25123374,7.318147531,14.87817161,10.88495742,7.090804346,912.7368353,771.7336814,641.4738707,817.1588714,703.1682611,597.7059388,771.4006505,670.3539972,576.7706525,721.5166591,634.6286761,554.0406897,0.00017,0.00012,0.00008,0.00017,0.00012,0.00008,0.00017,0.00012,0.00008,0.00019,0.00014,0.00009,1253.661797,1016.42122,797.8552369,1171.019962,957.1498582,759.9805295,1125.881417,924.7465273,739.2949606,1084.66897,895.2016262,720.5357974
Tangshan,Hebei,16.45682872,12.01187902,7.805667738,15.87418753,11.59377127,7.538579751,15.34855234,11.22067672,7.300423196,14.81298469,10.83578317,7.059398485,920.8745548,777.5086214,645.0779809,823.9969221,708.0115244,600.7092207,776.7682663,674.1516243,579.1189251,721.3503553,634.6143775,554.1227298,0.00018,0.00013,0.00008,0.00018,0.00013,0.00008,0.00019,0.00013,0.00008,0.00024,0.00017,0.00011,1253.76501,1016.440828,797.7703458,1172.905321,958.4381792,760.747309,1127.755169,926.0998958,740.09428,1095.5437,902.4837462,724.568753
Tongilao,Inner Mongolia,16.15112339,11.79348563,7.667226517,15.55719061,11.36480961,7.393024131,15.08603557,11.02605524,7.175651367,14.66171827,10.72447005,6.982552897,796.6835953,689.3464356,589.2825249,732.5509398,643.3209633,559.8817783,704.596322,623.254542,547.0569422,678.5571979,604.5350913,535.0642691,0.00008,0.00006,0.00004,0.00008,0.00006,0.00004,0.00007,0.00005,0.00003,0.00008,0.00006,0.00004,1239.049838,1006.791947,792.0912003,1164.096871,952.9515116,757.7381652,1122.000006,922.7300514,738.3905487,1082.757675,894.6886058,720.4815486
Urumqi,Xinjiang ,16.22055705,11.84289269,7.694037273,15.63321353,11.41946071,7.427465831,15.17055523,11.08866524,7.215830496,14.78478363,10.81273228,7.039285475,1205.652455,992.6206414,791.4117835,1067.74232,893.7840042,728.4264487,1009.921897,852.2983285,701.9330341,945.357408,806.0095359,672.4134195,0.00031,0.00022,0.00014,0.0003,0.00021,0.00013,0.00028,0.0002,0.00013,0.00027,0.00019,0.00012,1543.670944,1233.63123,943.5289802,1430.557861,1152.797749,892.2683642,1376.765688,1114.272987,867.6999434,1327.249378,1078.793169,845.1939223
Wuhai,Inner Mongolia,16.47569023,12.02471247,7.812982988,15.8790821,11.59769575,7.540870718,15.41743885,11.26492794,7.327693546,14.87741945,10.88142402,7.086647294,881.7028787,750.4052841,628.3669101,800.119802,691.8790299,591.001629,761.1431162,663.9231822,573.1653011,719.0991398,633.80183,553.9858827,0.00016,0.00011,0.00007,0.00016,0.00011,0.00007,0.00016,0.00011,0.00007,0.00019,0.00013,0.00008,1266.068345,1026.267559,804.6374386,1189.712513,971.5278459,769.7129152,1146.728292,940.6306583,749.983689,1107.572731,912.5465051,732.1143444
Xingtai,Hebei,16.44359843,12.00285317,7.799334957,15.87924866,11.59728127,7.538501625,15.40404633,11.25679705,7.323408063,14.84309496,10.85589573,7.070551364,921.7909329,778.1312568,645.4345631,825.3839213,708.9712479,601.278874,778.5738904,675.3981505,579.8528605,726.8202066,638.3375666,556.2780278,0.00018,0.00013,0.00008,0.00017,0.00012,0.00008,0.00017,0.00012,0.00008,0.0002,0.00014,0.00009,1250.98599,1014.429317,796.4353669,1170.841804,956.9232296,759.6730724,1125.47691,924.4045614,738.9811953,1086.146288,896.0044977,720.8432609
Zhangjiagang,Jiangsu ,16.49604464,12.03932104,7.82358381,15.81100077,11.54785202,7.509708424,15.29341821,11.17633179,7.272699023,14.8577468,10.86409395,7.073367329,894.3831627,758.3171899,632.5740055,807.592242,696.049433,592.8132141,764.776259,665.3362238,573.2086249,719.0713969,632.5508887,552.2834432,0.00012,0.00009,0.00006,0.00013,0.00009,0.00006,0.00014,0.0001,0.00006,0.00015,0.00011,0.00007,1246.73178,1011.200708,794.2041338,1162.730195,950.9419948,755.7319509,1115.634123,917.1584545,734.1775942,1074.137879,887.4093379,715.1897061
Zhangjiakou,Hebei,16.79655202,12.25462059,7.959992964,15.86576624,11.58740677,7.53605946,15.26120868,11.16111061,7.272424549,14.8205625,10.83895292,7.060437434,908.8967254,768.9771607,639.7104995,807.6329633,696.4034001,593.4721336,758.0546823,660.9720284,571.0053161,700.4701427,620.0340058,545.2558079,0.00019,0.00014,0.00009,0.00023,0.00016,0.0001,0.00025,0.00017,0.00011,0.00026,0.00018,0.00011,1275.399519,1032.00799,807.7718106,1185.31036,967.3089865,766.5119138,1138.317136,933.5432686,744.8989666,1095.430505,902.8146416,725.3356071
Zhanjiang,Guangdong ,16.33408894,11.9230841,7.748361433,15.695006,11.46459943,7.45584734,15.22437112,11.12495345,7.238815721,14.78500178,10.81150735,7.039027933,901.8473785,763.6977017,636.0463482,813.598477,700.3849923,595.618281,769.9946159,669.1070446,575.6529961,723.4379107,635.7124431,554.3428141,0.00013,0.00009,0.00006,0.00014,0.0001,0.00006,0.00014,0.0001,0.00006,0.00016,0.00011,0.00007,1239.310548,1005.897811,790.8147213,1158.119636,947.6575856,753.6486896,1113.150097,915.3454957,733.0191742,1072.616882,886.3227529,714.5074303
Jiuquan,Gansu,16.29838518,11.88979085,7.723680287,15.68113078,11.45246879,7.446180337,15.21384794,11.11739282,7.233702029,14.83487905,10.84188731,7.056090102,1032.670355,861.7866371,702.0786363,904.9292471,770.4707703,644.1321572,851.5264103,732.2147269,619.7769472,792.0790909,689.6617864,592.727376,0.000310965,0.000221547,0.000139787,0.000295642,0.000211027,0.000133514,0.000281085,0.000200809,0.000126989,0.000269305,0.000192254,0.000121687,1396.994681,1121.814456,866.6940302,1290.015536,1045.820207,818.905294,1237.825471,1008.631148,795.2450959,1190.540721,974.6209166,773.7220906
Fuzhou,Fujian,16.34752693,11.93272858,7.754624442,15.75209655,11.50513898,7.480415362,15.26816019,11.15845973,7.260673977,14.84431113,10.85469886,7.067791223,911.8892958,770.942272,640.726285,820.7875388,705.5869041,598.998257,776.3143344,673.6879342,578.6399554,728.3286076,639.2824902,556.7031047,0.00012906,9.26E-05,5.90E-05,0.000136409,9.79E-05,6.24E-05,0.000141618,0.000101647,6.49E-05,0.000167612,0.000120229,7.65E-05,1247.390918,1011.73456,794.6255272,1165.169813,952.7488189,756.9178625,1119.38619,919.9286247,736.0192703,1080.082978,891.7581052,718.0475606
Xiangyang,Hubei,16.24552378,11.85921901,7.708819493,15.62966086,11.41403873,7.419016677,15.17970515,11.09384659,7.21608153,14.79276775,10.81582438,7.041172626,1034.772029,859.8883205,698.2065233,906.9543894,768.5025994,640.2052781,842.8196862,722.7686457,611.2978895,769.935959,670.8000842,578.4683095,0.000214848,0.000153973,9.82E-05,0.000273371,0.000193291,0.000120537,0.000272337,0.000193047,0.000120998,0.000265415,0.000188973,0.000118973,1292.039611,1044.448673,816.1037865,1223.267221,994.1963712,783.0606166,1174.876763,959.9207087,761.6698734,1126.352585,925.7072321,740.3321303
Xianning,Hubei,16.21037706,11.83516767,7.692414962,15.60981512,11.39685896,7.404551796,15.15917686,11.07451685,7.202557689,14.7698847,10.79886604,7.03092233,1062.414784,879.8011195,711.0227858,924.3309865,781.213682,648.5988538,857.2452744,733.3116594,618.2609553,781.5100843,679.224836,584.0101363,0.000221602,0.000158848,0.000101365,0.00028302,0.000200524,0.000125266,0.000274653,0.000195139,0.000122344,0.000265131,0.000188892,0.000119467,1302.455216,1052.00782,821.0092404,1233.243266,1001.534001,787.8480749,1180.654276,964.2734932,764.5211643,1129.955655,928.3858376,742.4468131
