City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3,YCurrent_S1_Land_Use,YCurrent_S2_Land_Use,YCurrent_S3_Land_Use,Y2030_S1_Land_Use,Y2030_S2_Land_Use,Y2030_S3_Land_Use,Y2040_S1_Land_Use,Y2040_S2_Land_Use,Y2040_S3_Land_Use,Y2050_S1_Land_Use,Y2050_S2_Land_Use,Y2050_S3_Land_Use
Urumqi,Xinjiang ,6.382329186,6.857714942,7.818258261,4.974352079,5.457955447,6.417701747,4.470890567,4.9457973,5.888097988,3.966808395,4.433461499,5.358575693,96.81320469,72.29183918,49.30268992,91.72491891,68.26241545,46.6558338,87.9745591,65.5791915,44.94060079,84.5407436,63.16314846,43.18832176
Wuhai,Inner Mongolia,4.082533531,4.53808133,5.461765086,3.335102772,3.789268254,4.707088681,3.035842468,3.481814044,4.381483327,2.873170505,3.30840218,4.188426429,229.28603,164.5604802,105.1669158,207.7680198,149.1861306,95.39238387,191.148807,137.4303873,87.84615705,146.7725204,106.3608682,68.65980868
Xingtai,Hebei,4.336108909,4.785120004,5.704027125,3.488159367,3.93688098,4.851872069,3.157854342,3.598462924,4.492371409,3.00731215,3.436636088,4.310958611,257.2307001,184.7305078,118.1482756,235.9769039,169.4550912,108.364565,217.9135126,156.4846654,100.1656974,157.5390206,114.6263386,74.36285285
Zhangjiagang,Jiangsu ,4.211117815,4.660526238,5.575929117,3.417694716,3.868860529,4.784024382,3.100283485,3.54468655,4.443787529,2.800944143,3.237940383,4.119915644,292.3005405,209.7865161,134.1195581,258.1396549,185.2741306,118.4778851,230.5400551,165.4851308,105.8759347,200.6073049,143.99125,92.15881292
Zhangjiakou,Hebei,4.39792697,4.84089983,5.743695163,3.729121845,4.176484445,5.085776511,3.48677543,3.916964119,4.791488628,3.147809703,3.577913869,4.448250738,236.1368446,169.4856301,108.4382412,161.3834982,116.8810437,75.56647429,115.8193727,86.20434725,58.340847,85.32751396,63.98494743,43.75701379
Zhanjiang,Guangdong ,4.243793308,4.696811719,5.621125371,3.451533389,3.905425854,4.827436088,3.124192219,3.571367803,4.475333262,2.843247861,3.282023889,4.168658566,291.4644934,209.1864795,133.6723222,259.4478124,186.2130428,119.1388165,235.4795283,169.1171324,108.1250777,201.2246847,144.5052255,92.47117887
Jiuquan,Gansu,5.640878306,6.092479603,7.003627522,4.362049113,4.82250806,5.749125837,3.899650572,4.355005697,5.263560142,3.435015201,3.885018074,4.78099543,94.32483909,70.52824138,48.41785974,84.60580354,62.91279701,42.76920188,80.60057711,59.60208673,40.73797995,76.53437574,56.69933851,38.47858519
Fuzhou,Fujian,4.368352416,4.82073642,5.74519499,3.51614553,3.968743124,4.889332878,3.187228278,3.631791802,4.532787711,2.911404186,3.348200639,4.228920858,294.4294651,211.3144614,135.2281399,263.4643041,189.1214283,120.9234368,237.8288301,170.7022431,109.1526867,193.0542907,138.6594244,89.05687883
Xiangyang,Hubei,5.028273985,5.478531221,6.401179841,4.387623303,4.819851095,5.712880932,3.956366488,4.385920854,5.270673111,3.464862291,3.898135768,4.77356477,272.0284019,195.5983367,125.3173317,138.6025802,104.1752671,71.35487294,111.8654921,84.28767037,57.69842184,98.61743293,73.2723923,49.82827831
Xianning,Hubei,5.245144854,5.693743185,6.619210122,4.568683428,5.006170658,5.906794278,4.067989689,4.505591653,5.393617196,3.544267955,3.979085551,4.861313991,275.0104329,197.777571,126.6454464,127.3501491,95.75181992,65.96212312,111.8997472,83.60571522,57.47705745,102.3435324,75.88698277,50.77507656
