t,s,w
t329,0,0.341
t330,0,0.356
t331,0,0.362
t332,0,0.355
t333,0,0.332
t334,0,0.281
t335,0,0.217
t336,0,0.177
t337,0.276,0.143
t338,0.565,0.08
t339,0.752,0.071
t340,0.858,0.057
t341,0.894,0.048
t342,0.86,0.05
t343,0.749,0.058
t344,0.535,0.067
t345,0.213,0.084
t346,0.003,0.122
t347,0,0.132
t348,0,0.118
t349,0,0.096
t350,0,0.076
t351,0,0.06
t352,0,0.053
t353,0,0.039
t354,0,0.021
t355,0,0.009
t356,0,0.004
t357,0,0.003
t358,0,0.004
t359,0,0.007
t360,0,0.013
t361,0.283,0.02
t362,0.563,0.01
t363,0.741,0.006
t364,0.837,0.009
t365,0.866,0.025
t366,0.825,0.055
t367,0.705,0.08
t368,0.498,0.087
t369,0.216,0.088
t370,0.006,0.106
t371,0,0.093
t372,0,0.048
t373,0,0.009
t374,0,0.001
t375,0,0.002
t376,0,0.015
t377,0,0.041
t378,0,0.064
t379,0,0.08
t380,0,0.086
t381,0,0.071
t382,0,0.035
t383,0,0.005
t384,0,0
t385,0.231,0.003
t386,0.513,0.02
t387,0.703,0.022
t388,0.8,0.033
t389,0.835,0.047
t390,0.806,0.056
t391,0.634,0.043
t392,0.231,0.018
t393,0.068,0.004
t394,0,0.003
t395,0,0.005
t396,0,0.002
t397,0,0.004
t398,0,0.008
t399,0,0.019
t400,0,0.05
t401,0,0.096
t402,0,0.157
t403,0,0.215
t404,0,0.264
t405,0,0.289
t406,0,0.264
t407,0,0.209
t408,0,0.149
t409,0.075,0.1
t410,0.4,0.038
t411,0.627,0.02
t412,0.72,0.032
t413,0.795,0.043
t414,0.761,0.056
t415,0.598,0.068
t416,0.31,0.082
t417,0.102,0.106
t418,0.002,0.167
t419,0,0.253
t420,0,0.296
t421,0,0.297
t422,0,0.269
t423,0,0.215
t424,0,0.179
t425,0,0.161
t426,0,0.156
t427,0,0.171
t428,0,0.181
t429,0,0.164
t430,0,0.131
t431,0,0.092
t432,0,0.074
t433,0.033,0.082
t434,0.125,0.046
t435,0.227,0.008
t436,0.31,0.001
t437,0.384,0.001
t438,0.381,0.003
t439,0.32,0.015
t440,0.202,0.049
t441,0.082,0.113
t442,0.002,0.241
t443,0,0.461
t444,0,0.605
t445,0,0.646
t446,0,0.586
t447,0,0.515
t448,0,0.485
t449,0,0.457
t450,0,0.403
t451,0,0.346
t452,0,0.31
t453,0,0.3
t454,0,0.272
t455,0,0.247
t456,0,0.226
t457,0.317,0.185
t458,0.569,0.089
t459,0.746,0.146
t460,0.847,0.229
t461,0.881,0.332
t462,0.853,0.432
t463,0.758,0.501
t464,0.589,0.525
t465,0.323,0.495
t466,0.018,0.42
t467,0,0.395
t468,0,0.402
t469,0,0.462
t470,0,0.543
t471,0,0.61
t472,0,0.645
t473,0,0.651
t474,0,0.635
t475,0,0.615
t476,0,0.599
t477,0,0.584
t478,0,0.494
t479,0,0.39
t480,0,0.318
t481,0.234,0.241
t482,0.497,0.087
t483,0.692,0.082
t484,0.796,0.125
t485,0.83,0.211
t486,0.799,0.302
t487,0.702,0.382
t488,0.53,0.425
t489,0.267,0.381
t490,0.016,0.259
t491,0,0.18
t492,0,0.201
t493,0,0.302
t494,0,0.422
t495,0,0.495
t496,0,0.567
t497,0,0.618
t498,0,0.619
t499,0,0.587
t500,0,0.553
t501,0,0.528
t502,0,0.431
t503,0,0.311
t504,0,0.234
t505,0.238,0.179
t506,0.508,0.069
t507,0.695,0.027
t508,0.8,0.041
t509,0.834,0.066
t510,0.805,0.09
t511,0.71,0.108
t512,0.544,0.112
t513,0.289,0.124
t514,0.023,0.145
t515,0,0.119
t516,0,0.084
t517,0,0.061
t518,0,0.046
t519,0,0.035
t520,0,0.035
t521,0,0.041
t522,0,0.043
t523,0,0.043
t524,0,0.038
t525,0,0.028
t526,0,0.013
t527,0,0.004
t528,0,0.002
t529,0.264,0.002
t530,0.526,0.002
t531,0.704,0
t532,0.804,0.003
t533,0.835,0.025
t534,0.802,0.035
t535,0.703,0.035
t536,0.53,0.028
t537,0.27,0.017
t538,0.02,0.024
t539,0,0.052
t540,0,0.085
t541,0,0.101
t542,0,0.088
t543,0,0.058
t544,0,0.03
t545,0,0.01
t546,0,0.001
t547,0,0
t548,0,0
t549,0,0.001
t550,0,0.015
t551,0,0.061
t552,0,0.165
t553,0.129,0.345
t554,0.361,0.358
t555,0.509,0.225
t556,0.559,0.222
t557,0.524,0.18
t558,0.432,0.184
t559,0.338,0.267
t560,0.237,0.409
t561,0.09,0.568
t562,0.004,0.706
t563,0,0.755
t564,0,0.73
t565,0,0.653
t566,0,0.547
t567,0,0.44
t568,0,0.432
t569,0,0.476
t570,0,0.498
t571,0,0.487
t572,0,0.447
t573,0,0.399
t574,0,0.315
t575,0,0.233
t576,0,0.179
t577,0.111,0.122
t578,0.36,0.045
t579,0.584,0.036
t580,0.679,0.02
t581,0.72,0.018
t582,0.708,0.021
t583,0.639,0.035
t584,0.491,0.056
t585,0.245,0.069
t586,0.02,0.063
t587,0,0.058
t588,0,0.059
t589,0,0.066
t590,0,0.084
t591,0,0.119
t592,0,0.175
t593,0,0.22
t594,0,0.241
t595,0,0.243
t596,0,0.226
t597,0,0.203
t598,0,0.172
t599,0,0.147
t600,0,0.12
t601,0.161,0.094
t602,0.428,0.041
t603,0.63,0.069
t604,0.744,0.157
t605,0.789,0.227
t606,0.763,0.276
t607,0.667,0.312
t608,0.494,0.31
t609,0.241,0.231
t610,0.019,0.168
t611,0,0.113
t612,0,0.084
t613,0,0.1
t614,0,0.164
t615,0,0.264
t616,0,0.348
t617,0,0.416
t618,0,0.459
t619,0,0.484
t620,0,0.491
t621,0,0.493
t622,0,0.457
t623,0,0.423
t624,0,0.403
t625,0.148,0.348
t626,0.46,0.244
t627,0.658,0.326
t628,0.754,0.38
t629,0.801,0.459
t630,0.79,0.525
t631,0.711,0.551
t632,0.556,0.541
t633,0.304,0.475
t634,0.037,0.388
t635,0,0.31
t636,0,0.213
t637,0,0.134
t638,0,0.082
t639,0,0.053
t640,0,0.051
t641,0,0.057
t642,0,0.048
t643,0,0.04
t644,0,0.052
t645,0,0.07
t646,0,0.058
t647,0,0.035
t648,0,0.031
t649,0.253,0.037
t650,0.516,0.017
t651,0.695,0.011
t652,0.794,0.058
t653,0.828,0.104
t654,0.798,0.153
t655,0.702,0.194
t656,0.533,0.233
t657,0.279,0.219
t658,0.03,0.132
t659,0,0.114
t660,0,0.219
t661,0,0.422
t662,0,0.629
t663,0,0.715
t664,0,0.718
t665,0,0.722
t666,0,0.73
t667,0,0.672
t668,0,0.605
t669,0,0.538
t670,0,0.407
t671,0,0.28
t672,0,0.222
t673,0.2,0.18
t674,0.462,0.065
t675,0.643,0.045
t676,0.745,0.14
t677,0.781,0.348
t678,0.754,0.539
t679,0.66,0.637
t680,0.488,0.649
t681,0.236,0.535
t682,0.022,0.352
t683,0,0.269
t684,0,0.279
t685,0,0.376
t686,0,0.535
t687,0,0.696
t688,0,0.744
t689,0,0.718
t690,0,0.668
t691,0,0.535
t692,0,0.38
t693,0,0.319
t694,0,0.286
t695,0,0.259
t696,0,0.283
t697,0.043,0.376
t698,0.183,0.47
t699,0.441,0.457
t700,0.632,0.407
t701,0.692,0.335
t702,0.672,0.284
t703,0.602,0.249
t704,0.427,0.226
t705,0.19,0.204
t706,0.018,0.205
t707,0,0.248
t708,0,0.272
t709,0,0.271
t710,0,0.259
t711,0,0.227
t712,0,0.168
t713,0,0.109
t714,0,0.075
t715,0,0.062
t716,0,0.054
t717,0,0.058
t718,0,0.076
t719,0,0.108
t720,0,0.139
t721,0.044,0.17
t722,0.186,0.314
t723,0.467,0.519
t724,0.736,0.658
t725,0.796,0.762
t726,0.759,0.821
t727,0.649,0.842
t728,0.481,0.838
t729,0.239,0.805
t730,0.026,0.695
t731,0,0.695
t732,0,0.724
t733,0,0.744
t734,0,0.704
t735,0,0.669
t736,0,0.65
t737,0,0.624
t738,0,0.586
t739,0,0.54
t740,0,0.496
t741,0,0.435
t742,0,0.329
t743,0,0.227
t744,0.001,0.157
t745,0.286,0.101
t746,0.544,0.04
t747,0.728,0.063
t748,0.825,0.111
t749,0.857,0.126
t750,0.82,0.146
t751,0.717,0.157
t752,0.545,0.153
t753,0.293,0.125
t754,0.043,0.162
t755,0,0.32
t756,0,0.413
t757,0,0.349
t758,0,0.274
t759,0,0.251
