t,s,w
t327,0,0.916
t328,0,0.875
t329,0,0.85
t330,0,0.858
t331,0,0.837
t332,0,0.8
t333,0,0.8
t334,0,0.802
t335,0,0.76
t336,0.047,0.647
t337,0.381,0.596
t338,0.609,0.663
t339,0.75,0.615
t340,0.81,0.485
t341,0.814,0.363
t342,0.751,0.292
t343,0.613,0.253
t344,0.393,0.238
t345,0.1,0.236
t346,0,0.274
t347,0,0.323
t348,0,0.399
t349,0,0.417
t350,0,0.368
t351,0,0.298
t352,0,0.263
t353,0,0.277
t354,0,0.305
t355,0,0.328
t356,0,0.34
t357,0,0.354
t358,0,0.391
t359,0,0.474
t360,0.031,0.55
t361,0.339,0.466
t362,0.565,0.448
t363,0.702,0.578
t364,0.761,0.642
t365,0.761,0.695
t366,0.698,0.715
t367,0.544,0.688
t368,0.331,0.571
t369,0.072,0.479
t370,0,0.538
t371,0,0.604
t372,0,0.644
t373,0,0.637
t374,0,0.594
t375,0,0.53
t376,0,0.468
t377,0,0.407
t378,0,0.332
t379,0,0.256
t380,0,0.205
t381,0,0.183
t382,0,0.241
t383,0,0.341
t384,0.041,0.385
t385,0.338,0.278
t386,0.563,0.068
t387,0.698,0.017
t388,0.755,0.001
t389,0.754,0
t390,0.689,0
t391,0.549,0
t392,0.339,0.005
t393,0.076,0.038
t394,0,0.101
t395,0,0.164
t396,0,0.188
t397,0,0.207
t398,0,0.189
t399,0,0.141
t400,0,0.112
t401,0,0.088
t402,0,0.068
t403,0,0.054
t404,0,0.036
t405,0,0.015
t406,0,0.004
t407,0,0.002
t408,0.019,0.002
t409,0.15,0.003
t410,0.19,0.002
t411,0.208,0
t412,0.268,0.001
t413,0.265,0.006
t414,0.203,0.01
t415,0.12,0.009
t416,0.061,0.013
t417,0.012,0.011
t418,0,0.005
t419,0,0.001
t420,0,0.001
t421,0,0.005
t422,0,0.062
t423,0,0.244
t424,0,0.491
t425,0,0.666
t426,0,0.718
t427,0,0.697
t428,0,0.616
t429,0,0.523
t430,0,0.447
t431,0,0.388
t432,0.004,0.3
t433,0.045,0.206
t434,0.089,0.079
t435,0.184,0.067
t436,0.333,0.132
t437,0.365,0.111
t438,0.321,0.068
t439,0.211,0.045
t440,0.079,0.014
t441,0.011,0.001
t442,0,0.002
t443,0,0.031
t444,0,0.1
t445,0,0.211
t446,0,0.381
t447,0,0.513
t448,0,0.568
t449,0,0.605
t450,0,0.625
t451,0,0.607
t452,0,0.568
t453,0,0.521
t454,0,0.459
t455,0,0.381
t456,0.051,0.278
t457,0.383,0.147
t458,0.596,0.204
t459,0.728,0.228
t460,0.791,0.163
t461,0.791,0.17
t462,0.724,0.255
t463,0.577,0.355
t464,0.363,0.406
t465,0.093,0.516
t466,0,0.655
t467,0,0.733
t468,0,0.799
t469,0,0.838
t470,0,0.872
t471,0,0.895
t472,0,0.882
t473,0,0.85
t474,0,0.823
t475,0,0.793
t476,0,0.751
t477,0,0.699
t478,0,0.651
t479,0,0.601
t480,0.06,0.55
t481,0.352,0.403
t482,0.566,0.204
t483,0.696,0.349
t484,0.737,0.393
t485,0.735,0.31
t486,0.67,0.26
t487,0.531,0.248
t488,0.321,0.258
t489,0.071,0.358
t490,0,0.494
t491,0,0.615
t492,0,0.682
t493,0,0.674
t494,0,0.62
t495,0,0.58
t496,0,0.549
t497,0,0.524
t498,0,0.48
t499,0,0.416
t500,0,0.375
t501,0,0.346
t502,0,0.343
t503,0,0.343
t504,0.045,0.31
t505,0.317,0.248
t506,0.536,0.116
t507,0.673,0.137
t508,0.73,0.126
t509,0.729,0.139
t510,0.664,0.188
t511,0.528,0.227
t512,0.323,0.292
t513,0.074,0.476
t514,0,0.631
t515,0,0.706
t516,0,0.72
t517,0,0.702
t518,0,0.688
t519,0,0.687
t520,0,0.695
t521,0,0.69
t522,0,0.65
t523,0,0.612
t524,0,0.584
t525,0,0.563
t526,0,0.548
t527,0,0.532
t528,0.045,0.496
t529,0.3,0.283
t530,0.516,0.079
t531,0.651,0.088
t532,0.714,0.183
t533,0.712,0.126
t534,0.646,0.098
t535,0.516,0.115
t536,0.31,0.251
t537,0.069,0.503
t538,0,0.65
t539,0,0.674
t540,0,0.643
t541,0,0.551
t542,0,0.407
t543,0,0.311
t544,0,0.303
t545,0,0.317
t546,0,0.373
t547,0,0.447
t548,0,0.467
t549,0,0.447
t550,0,0.398
t551,0,0.352
t552,0.031,0.336
t553,0.196,0.24
t554,0.321,0.109
t555,0.375,0.066
t556,0.419,0.016
t557,0.446,0.001
t558,0.482,0.001
t559,0.406,0.016
t560,0.218,0.089
t561,0.041,0.222
t562,0,0.37
t563,0,0.557
t564,0,0.7
t565,0,0.718
t566,0,0.632
t567,0,0.538
t568,0,0.458
t569,0,0.432
t570,0,0.464
t571,0,0.454
t572,0,0.414
t573,0,0.419
t574,0,0.369
t575,0,0.294
t576,0.064,0.225
t577,0.372,0.194
t578,0.589,0.457
t579,0.726,0.407
t580,0.783,0.278
t581,0.788,0.195
t582,0.727,0.163
t583,0.589,0.146
t584,0.384,0.118
t585,0.112,0.07
t586,0,0.05
t587,0,0.05
t588,0,0.072
t589,0,0.124
t590,0,0.192
t591,0,0.25
t592,0,0.277
t593,0,0.266
t594,0,0.242
t595,0,0.22
t596,0,0.196
t597,0,0.165
t598,0,0.158
t599,0,0.182
t600,0.082,0.206
t601,0.373,0.137
t602,0.588,0.02
t603,0.718,0
t604,0.776,0
t605,0.733,0.002
t606,0.53,0.007
t607,0.444,0.011
t608,0.299,0.023
t609,0.082,0.067
t610,0,0.142
t611,0,0.218
t612,0,0.297
t613,0,0.387
t614,0,0.471
t615,0,0.549
t616,0,0.567
t617,0,0.516
t618,0,0.435
t619,0,0.38
t620,0,0.343
t621,0,0.284
t622,0,0.225
t623,0,0.178
t624,0.002,0.145
t625,0.03,0.106
t626,0.084,0.046
t627,0.188,0.058
t628,0.3,0.142
t629,0.449,0.205
t630,0.443,0.226
t631,0.28,0.266
t632,0.14,0.283
t633,0.036,0.442
t634,0,0.732
t635,0,0.894
t636,0,0.87
t637,0,0.753
t638,0,0.644
t639,0,0.549
t640,0,0.525
t641,0,0.55
t642,0,0.546
t643,0,0.534
t644,0,0.498
t645,0,0.432
t646,0,0.36
t647,0,0.264
t648,0.083,0.204
t649,0.401,0.196
t650,0.606,0.15
t651,0.734,0.238
t652,0.793,0.192
t653,0.793,0.116
t654,0.729,0.055
t655,0.596,0.017
t656,0.388,0.004
t657,0.114,0.007
t658,0,0.034
t659,0,0.079
t660,0,0.135
t661,0,0.202
t662,0,0.286
t663,0,0.35
t664,0,0.37
t665,0,0.33
t666,0,0.241
t667,0,0.159
t668,0,0.082
t669,0,0.041
t670,0,0.035
t671,0,0.043
t672,0.017,0.054
t673,0.094,0.049
t674,0.227,0.014
t675,0.438,0.034
t676,0.573,0.116
t677,0.571,0.126
t678,0.487,0.105
t679,0.358,0.079
t680,0.197,0.076
t681,0.04,0.125
t682,0,0.179
t683,0,0.193
t684,0,0.179
t685,0,0.133
t686,0,0.079
t687,0,0.045
t688,0,0.034
t689,0,0.053
t690,0,0.125
t691,0,0.297
t692,0,0.498
t693,0,0.525
t694,0,0.479
t695,0,0.407
t696,0.016,0.327
t697,0.07,0.237
t698,0.149,0.293
t699,0.243,0.459
t700,0.289,0.407
t701,0.27,0.412
t702,0.305,0.568
t703,0.283,0.746
t704,0.169,0.816
t705,0.043,0.773
t706,0,0.654
t707,0,0.601
t708,0,0.568
t709,0,0.489
t710,0,0.422
t711,0,0.354
t712,0,0.324
t713,0,0.328
t714,0,0.294
t715,0,0.184
t716,0,0.182
t717,0,0.223
t718,0,0.208
t719,0,0.153
t720,0.029,0.1
t721,0.206,0.084
t722,0.417,0.148
t723,0.578,0.207
t724,0.685,0.294
t725,0.752,0.419
t726,0.722,0.535
t727,0.594,0.618
t728,0.38,0.654
t729,0.109,0.61
t730,0,0.686
t731,0,0.78
t732,0,0.815
t733,0,0.812
t734,0,0.786
t735,0,0.746
t736,0,0.71
t737,0,0.65
t738,0,0.55
t739,0,0.466
t740,0,0.432
t741,0,0.434
t742,0,0.426
t743,0,0.42
t744,0.069,0.461
t745,0.324,0.393
t746,0.543,0.246
t747,0.681,0.47
t748,0.729,0.642
t749,0.729,0.667
t750,0.664,0.63
t751,0.517,0.577
t752,0.311,0.447
t753,0.081,0.408
t754,0,0.414
t755,0,0.426
t756,0,0.464
t757,0,0.503
t758,0,0.523
t759,0,0.582
t760,0,0.618
t761,0,0.601
t762,0,0.464
t763,0,0.317
t764,0,0.273
t765,0,0.261
t766,0,0.261
t767,0,0.264
t768,0.003,0.253
t769,0.026,0.27
t770,0.104,0.249
t771,0.408,0.325
t772,0.407,0.357
t773,0.373,0.302
t774,0.313,0.248
t775,0.207,0.15
t776,0.103,0.059
t777,0.017,0.005
t778,0,0.008
t779,0,0.022
t780,0,0.028
t781,0,0.011
t782,0,0.001
t783,0,0.004
t784,0,0.058
t785,0,0.182
t786,0,0.33
t787,0,0.455
t788,0,0.506
t789,0,0.52
t790,0,0.496
