t,s,w
t324,0,0.144
t325,0,0.084
t326,0,0.041
t327,0,0.027
t328,0,0.019
t329,0,0.016
t330,0,0.014
t331,0,0.008
t332,0,0.006
t333,0,0.005
t334,0,0.004
t335,0,0.004
t336,0,0.003
t337,0.115,0.002
t338,0.404,0.008
t339,0.632,0.053
t340,0.769,0.115
t341,0.85,0.201
t342,0.875,0.299
t343,0.843,0.355
t344,0.749,0.367
t345,0.592,0.341
t346,0.36,0.241
t347,0.046,0.13
t348,0,0.066
t349,0,0.038
t350,0,0.021
t351,0,0.015
t352,0,0.012
t353,0,0.012
t354,0,0.012
t355,0,0.011
t356,0,0.011
t357,0,0.009
t358,0,0.008
t359,0,0.007
t360,0,0.006
t361,0.215,0.005
t362,0.53,0.005
t363,0.723,0.007
t364,0.847,0.004
t365,0.9,0.002
t366,0.9,0.003
t367,0.878,0.009
t368,0.781,0.021
t369,0.621,0.031
t370,0.384,0.023
t371,0.054,0.007
t372,0,0.002
t373,0,0.001
t374,0,0.001
t375,0,0.001
t376,0,0.002
t377,0,0.004
t378,0,0.006
t379,0,0.006
t380,0,0.007
t381,0,0.009
t382,0,0.011
t383,0,0.011
t384,0,0.011
t385,0.228,0.011
t386,0.531,0.002
t387,0.687,0
t388,0.807,0.005
t389,0.88,0.033
t390,0.894,0.082
t391,0.857,0.139
t392,0.761,0.19
t393,0.602,0.198
t394,0.367,0.141
t395,0.05,0.093
t396,0,0.048
t397,0,0.025
t398,0,0.016
t399,0,0.011
t400,0,0.009
t401,0,0.009
t402,0,0.01
t403,0,0.009
t404,0,0.009
t405,0,0.009
t406,0,0.009
t407,0,0.01
t408,0,0.01
t409,0.206,0.009
t410,0.502,0.045
t411,0.694,0.172
t412,0.817,0.249
t413,0.877,0.348
t414,0.88,0.438
t415,0.836,0.502
t416,0.74,0.529
t417,0.575,0.501
t418,0.34,0.406
t419,0.04,0.288
t420,0,0.192
t421,0,0.126
t422,0,0.088
t423,0,0.069
t424,0,0.058
t425,0,0.054
t426,0,0.052
t427,0,0.045
t428,0,0.035
t429,0,0.031
t430,0,0.025
t431,0,0.016
t432,0,0.011
t433,0.169,0.01
t434,0.466,0.047
t435,0.703,0.119
t436,0.83,0.192
t437,0.891,0.286
t438,0.9,0.393
t439,0.858,0.46
t440,0.76,0.465
t441,0.601,0.398
t442,0.367,0.262
t443,0.055,0.158
t444,0,0.102
t445,0,0.074
t446,0,0.051
t447,0,0.031
t448,0,0.019
t449,0,0.011
t450,0,0.007
t451,0,0.006
t452,0,0.007
t453,0,0.007
t454,0,0.006
t455,0,0.004
t456,0,0.002
t457,0.224,0.002
t458,0.523,0.001
t459,0.707,0.015
t460,0.829,0.033
t461,0.89,0.064
t462,0.898,0.105
t463,0.854,0.142
t464,0.755,0.167
t465,0.587,0.17
t466,0.34,0.122
t467,0.047,0.072
t468,0,0.045
t469,0,0.029
t470,0,0.02
t471,0,0.015
t472,0,0.01
t473,0,0.005
t474,0,0.003
t475,0,0.001
t476,0,0
t477,0,0
t478,0,0
t479,0,0
t480,0,0
t481,0.21,0
t482,0.508,0
t483,0.699,0.008
t484,0.823,0.036
t485,0.884,0.066
t486,0.892,0.105
t487,0.849,0.142
t488,0.75,0.161
t489,0.584,0.15
t490,0.335,0.095
t491,0.046,0.053
t492,0,0.036
t493,0,0.026
t494,0,0.017
t495,0,0.011
t496,0,0.009
t497,0,0.008
t498,0,0.006
t499,0,0.005
t500,0,0.005
t501,0,0.006
t502,0,0.005
t503,0,0.004
t504,0,0.003
t505,0.171,0.002
t506,0.452,0.012
t507,0.666,0.057
t508,0.792,0.095
t509,0.867,0.151
t510,0.879,0.231
t511,0.832,0.341
t512,0.721,0.407
t513,0.545,0.391
t514,0.317,0.312
t515,0.04,0.222
t516,0,0.171
t517,0,0.135
t518,0,0.118
t519,0,0.101
t520,0,0.091
t521,0,0.089
t522,0,0.087
t523,0,0.071
t524,0,0.055
t525,0,0.045
t526,0,0.039
t527,0,0.032
t528,0,0.028
t529,0.184,0.027
t530,0.48,0.061
t531,0.695,0.155
t532,0.82,0.225
t533,0.881,0.305
t534,0.888,0.407
t535,0.846,0.488
t536,0.749,0.522
t537,0.59,0.493
t538,0.355,0.396
t539,0.056,0.299
t540,0,0.203
t541,0,0.149
t542,0,0.115
t543,0,0.095
t544,0,0.074
t545,0,0.061
t546,0,0.047
t547,0,0.039
t548,0,0.037
t549,0,0.037
t550,0,0.041
t551,0,0.041
t552,0,0.035
t553,0.213,0.034
t554,0.509,0.094
t555,0.703,0.272
t556,0.823,0.428
t557,0.884,0.541
t558,0.891,0.635
t559,0.851,0.695
t560,0.756,0.715
t561,0.599,0.675
t562,0.366,0.571
t563,0.063,0.464
t564,0,0.358
t565,0,0.267
t566,0,0.196
t567,0,0.144
t568,0,0.106
t569,0,0.088
t570,0,0.071
t571,0,0.047
t572,0,0.05
t573,0,0.052
t574,0,0.053
t575,0,0.049
t576,0,0.048
t577,0.229,0.04
t578,0.522,0.038
t579,0.703,0.073
t580,0.818,0.07
t581,0.878,0.071
t582,0.886,0.101
t583,0.844,0.137
t584,0.748,0.155
t585,0.589,0.144
t586,0.355,0.111
t587,0.062,0.08
t588,0,0.056
t589,0,0.036
t590,0,0.024
t591,0,0.018
t592,0,0.015
t593,0,0.014
t594,0,0.014
t595,0,0.013
t596,0,0.013
t597,0,0.014
t598,0,0.013
t599,0,0.013
t600,0,0.013
t601,0.23,0.011
t602,0.517,0.008
t603,0.699,0.059
t604,0.818,0.121
t605,0.879,0.225
t606,0.888,0.355
t607,0.848,0.479
t608,0.753,0.54
t609,0.597,0.556
t610,0.367,0.481
t611,0.07,0.369
t612,0,0.296
t613,0,0.188
t614,0,0.12
t615,0,0.088
t616,0,0.087
t617,0,0.073
t618,0,0.063
t619,0,0.062
t620,0,0.063
t621,0,0.062
t622,0,0.056
t623,0,0.046
t624,0,0.035
t625,0.218,0.027
t626,0.496,0.045
t627,0.682,0.148
t628,0.806,0.222
t629,0.866,0.322
t630,0.873,0.448
t631,0.83,0.556
t632,0.724,0.605
t633,0.564,0.59
t634,0.333,0.477
t635,0.056,0.358
t636,0,0.272
t637,0,0.187
t638,0,0.122
t639,0,0.069
t640,0,0.054
t641,0,0.043
t642,0,0.034
t643,0,0.026
t644,0,0.02
t645,0,0.021
t646,0,0.02
t647,0,0.02
t648,0,0.02
t649,0.185,0.016
t650,0.46,0.048
t651,0.673,0.164
t652,0.798,0.282
t653,0.851,0.422
t654,0.841,0.558
t655,0.797,0.645
t656,0.709,0.669
t657,0.563,0.635
t658,0.338,0.541
t659,0.053,0.447
t660,0,0.381
t661,0,0.301
t662,0,0.199
t663,0,0.109
t664,0,0.071
t665,0,0.054
t666,0,0.049
t667,0,0.05
t668,0,0.048
t669,0,0.048
t670,0,0.035
t671,0,0.02
t672,0,0.017
t673,0.071,0.015
t674,0.255,0.027
t675,0.555,0.084
t676,0.72,0.176
t677,0.78,0.302
t678,0.795,0.471
t679,0.766,0.606
t680,0.675,0.632
t681,0.516,0.578
t682,0.298,0.431
t683,0.023,0.336
t684,0,0.201
t685,0,0.108
t686,0,0.117
t687,0,0.061
t688,0,0.039
t689,0,0.021
t690,0,0.011
t691,0,0.015
t692,0,0.015
t693,0,0.018
t694,0,0.028
t695,0,0.057
t696,0,0.06
t697,0.044,0.063
t698,0.22,0.108
t699,0.496,0.388
t700,0.735,0.737
t701,0.737,0.851
t702,0.73,0.862
t703,0.704,0.837
t704,0.641,0.764
t705,0.526,0.615
t706,0.34,0.361
t707,0.069,0.184
t708,0,0.105
t709,0,0.042
t710,0,0.019
t711,0,0.011
t712,0,0.009
t713,0,0.009
t714,0,0.016
t715,0,0.024
t716,0,0.028
t717,0,0.028
t718,0,0.028
t719,0,0.025
t720,0,0.021
t721,0.269,0.013
t722,0.538,0.002
t723,0.718,0.008
t724,0.835,0.036
t725,0.894,0.091
t726,0.9,0.156
t727,0.858,0.211
t728,0.761,0.24
t729,0.604,0.222
t730,0.375,0.139
t731,0.085,0.074
t732,0,0.039
t733,0,0.019
t734,0,0.013
t735,0,0.014
t736,0,0.014
t737,0,0.015
t738,0,0.017
t739,0,0.019
t740,0,0.02
t741,0,0.02
t742,0,0.016
t743,0,0.015
t744,0,0.015
t745,0.271,0.016
t746,0.531,0.013
t747,0.71,0.122
t748,0.827,0.203
t749,0.886,0.289
t750,0.894,0.395
t751,0.852,0.479
t752,0.758,0.519
t753,0.603,0.509
t754,0.375,0.42
t755,0.085,0.333
t756,0,0.249
t757,0,0.19
t758,0,0.141
t759,0,0.11
t760,0,0.086
t761,0,0.079
t762,0,0.083
t763,0,0.076
t764,0,0.068
t765,0,0.065
t766,0,0.068
t767,0,0.062
t768,0,0.056
t769,0.268,0.049
t770,0.521,0.09
t771,0.702,0.27
t772,0.823,0.407
t773,0.884,0.56
t774,0.893,0.682
t775,0.85,0.766
t776,0.754,0.798
t777,0.597,0.784
t778,0.371,0.692
t779,0.085,0.592
t780,0,0.48
t781,0,0.352
t782,0,0.248
t783,0,0.167
t784,0,0.126
t785,0,0.101
t786,0,0.085
t787,0,0.077
t788,0,0.071
t789,0,0.063
t790,0,0.053
t791,0,0.039
t792,0,0.03
t793,0.273,0.026
t794,0.531,0.079
t795,0.717,0.167
t796,0.839,0.237
t797,0.9,0.328
t798,0.9,0.432
t799,0.867,0.53
t800,0.773,0.583
t801,0.618,0.573
t802,0.39,0.466
t803,0.097,0.337
t804,0,0.218
t805,0,0.158
t806,0,0.118
t807,0,0.085
t808,0,0.062
t809,0,0.05
t810,0,0.044
t811,0,0.037
t812,0,0.035
t813,0,0.031
t814,0,0.03
t815,0,0.029
t816,0,0.026
t817,0.291,0.022
t818,0.537,0.068
t819,0.719,0.192
t820,0.84,0.293
t821,0.9,0.419
t822,0.9,0.534
t823,0.867,0.618
t824,0.767,0.663
t825,0.606,0.657
t826,0.375,0.552
t827,0.088,0.415
t828,0,0.312
t829,0,0.24
t830,0,0.192
t831,0,0.164
t832,0,0.146
t833,0,0.134
t834,0,0.106
t835,0,0.079
t836,0,0.05
t837,0,0.039
t838,0,0.038
t839,0,0.035
t840,0,0.03
t841,0.298,0.024
t842,0.544,0.017
t843,0.724,0.035
