t,s,w
t326,0,0.16
t327,0,0.121
t328,0,0.166
t329,0,0.209
t330,0,0.258
t331,0,0.265
t332,0,0.212
t333,0,0.174
t334,0,0.192
t335,0,0.289
t336,0.033,0.303
t337,0.114,0.254
t338,0.337,0.317
t339,0.445,0.418
t340,0.43,0.457
t341,0.338,0.47
t342,0.254,0.546
t343,0.173,0.656
t344,0.089,0.75
t345,0.017,0.809
t346,0,0.794
t347,0,0.739
t348,0,0.616
t349,0,0.494
t350,0,0.438
t351,0,0.404
t352,0,0.407
t353,0,0.43
t354,0,0.451
t355,0,0.455
t356,0,0.42
t357,0,0.386
t358,0,0.328
t359,0,0.272
t360,0.099,0.192
t361,0.344,0.094
t362,0.536,0.054
t363,0.575,0.024
t364,0.405,0.035
t365,0.347,0.063
t366,0.284,0.083
t367,0.199,0.089
t368,0.106,0.09
t369,0.022,0.094
t370,0,0.098
t371,0,0.084
t372,0,0.061
t373,0,0.032
t374,0,0.019
t375,0,0.011
t376,0,0.014
t377,0,0.024
t378,0,0.035
t379,0,0.045
t380,0,0.047
t381,0,0.036
t382,0,0.021
t383,0,0.015
t384,0.12,0.018
t385,0.36,0.015
t386,0.528,0.065
t387,0.634,0.07
t388,0.64,0.068
t389,0.651,0.084
t390,0.588,0.107
t391,0.441,0.126
t392,0.243,0.102
t393,0.052,0.067
t394,0,0.042
t395,0,0.024
t396,0,0.011
t397,0,0.004
t398,0,0.005
t399,0,0.007
t400,0,0.017
t401,0,0.06
t402,0,0.084
t403,0,0.066
t404,0,0.072
t405,0,0.119
t406,0,0.178
t407,0,0.203
t408,0.1,0.194
t409,0.325,0.101
t410,0.494,0.132
t411,0.595,0.146
t412,0.61,0.141
t413,0.629,0.133
t414,0.558,0.135
t415,0.441,0.141
t416,0.243,0.154
t417,0.053,0.252
t418,0,0.444
t419,0,0.614
t420,0,0.701
t421,0,0.726
t422,0,0.722
t423,0,0.705
t424,0,0.675
t425,0,0.663
t426,0,0.65
t427,0,0.547
t428,0,0.379
t429,0,0.29
t430,0,0.249
t431,0,0.204
t432,0.022,0.167
t433,0.153,0.111
t434,0.372,0.145
t435,0.567,0.256
t436,0.633,0.346
t437,0.648,0.413
t438,0.555,0.466
t439,0.395,0.478
t440,0.207,0.425
t441,0.046,0.376
t442,0,0.464
t443,0,0.498
t444,0,0.471
t445,0,0.411
t446,0,0.364
t447,0,0.343
t448,0,0.347
t449,0,0.354
t450,0,0.37
t451,0,0.413
t452,0,0.447
t453,0,0.435
t454,0,0.395
t455,0,0.38
t456,0.042,0.351
t457,0.237,0.324
t458,0.479,0.439
t459,0.645,0.434
t460,0.732,0.405
t461,0.74,0.395
t462,0.678,0.414
t463,0.524,0.484
t464,0.322,0.527
t465,0.083,0.479
t466,0,0.475
t467,0,0.464
t468,0,0.427
t469,0,0.379
t470,0,0.32
t471,0,0.249
t472,0,0.175
t473,0,0.132
t474,0,0.118
t475,0,0.12
t476,0,0.116
t477,0,0.108
t478,0,0.117
t479,0.024,0.142
t480,0.084,0.14
t481,0.246,0.068
t482,0.408,0.126
t483,0.495,0.181
t484,0.456,0.225
t485,0.374,0.27
t486,0.264,0.289
t487,0.172,0.27
t488,0.151,0.198
t489,0.056,0.155
t490,0,0.152
t491,0,0.122
t492,0,0.12
t493,0,0.149
t494,0,0.208
t495,0,0.272
t496,0,0.338
t497,0,0.366
t498,0,0.37
t499,0,0.367
t500,0,0.328
t501,0,0.292
t502,0,0.251
t503,0,0.241
t504,0.115,0.234
t505,0.386,0.107
t506,0.586,0.134
t507,0.708,0.311
t508,0.758,0.468
t509,0.751,0.546
t510,0.682,0.568
t511,0.547,0.54
t512,0.347,0.447
t513,0.1,0.402
t514,0,0.386
t515,0,0.325
t516,0,0.269
t517,0,0.217
t518,0,0.18
t519,0,0.179
t520,0,0.196
t521,0,0.195
t522,0,0.2
t523,0,0.225
t524,0,0.274
t525,0,0.325
t526,0,0.344
t527,0,0.333
t528,0.145,0.272
t529,0.382,0.094
t530,0.572,0.035
t531,0.686,0.079
t532,0.714,0.139
t533,0.704,0.155
t534,0.631,0.144
t535,0.404,0.111
t536,0.218,0.064
t537,0.048,0.028
t538,0,0.019
t539,0,0.026
t540,0,0.045
t541,0,0.077
t542,0,0.123
t543,0,0.16
t544,0,0.182
t545,0,0.187
t546,0,0.18
t547,0,0.158
t548,0,0.133
t549,0,0.121
t550,0,0.118
t551,0,0.12
t552,0.087,0.118
t553,0.287,0.058
t554,0.479,0.046
t555,0.609,0.05
t556,0.566,0.029
t557,0.561,0.02
t558,0.498,0.022
t559,0.383,0.037
t560,0.212,0.066
t561,0.049,0.134
t562,0,0.223
t563,0,0.324
t564,0,0.402
t565,0,0.459
t566,0,0.491
t567,0,0.498
t568,0,0.494
t569,0,0.47
t570,0,0.418
t571,0,0.335
t572,0,0.238
t573,0,0.157
t574,0,0.117
t575,0,0.114
t576,0.024,0.112
t577,0.11,0.075
t578,0.272,0.068
t579,0.549,0.069
t580,0.604,0.111
t581,0.574,0.196
t582,0.448,0.334
t583,0.307,0.503
t584,0.172,0.646
t585,0.041,0.713
t586,0,0.741
t587,0,0.734
t588,0,0.685
t589,0,0.637
t590,0,0.632
t591,0,0.606
t592,0,0.591
t593,0,0.592
t594,0,0.641
t595,0,0.7
t596,0,0.683
t597,0,0.663
t598,0,0.61
t599,0,0.534
t600,0.16,0.362
t601,0.452,0.316
t602,0.635,0.393
t603,0.753,0.279
t604,0.787,0.21
t605,0.783,0.178
t606,0.715,0.176
t607,0.544,0.192
t608,0.215,0.185
t609,0.047,0.175
t610,0,0.227
t611,0,0.278
t612,0,0.269
t613,0,0.225
t614,0,0.182
t615,0,0.164
t616,0,0.134
t617,0,0.08
t618,0,0.033
t619,0,0.009
t620,0,0.002
t621,0,0.001
t622,0,0.001
t623,0,0.001
t624,0.183,0.005
t625,0.436,0.025
t626,0.625,0.06
t627,0.742,0.089
t628,0.793,0.102
t629,0.781,0.106
t630,0.708,0.112
t631,0.557,0.118
t632,0.349,0.126
t633,0.101,0.148
t634,0,0.171
t635,0,0.163
t636,0,0.147
t637,0,0.131
t638,0,0.12
t639,0,0.102
t640,0,0.074
t641,0,0.033
t642,0,0.002
t643,0,0
t644,0,0.001
t645,0,0.038
t646,0,0.116
t647,0,0.155
t648,0.048,0.154
t649,0.182,0.082
t650,0.334,0.085
t651,0.457,0.147
t652,0.544,0.084
t653,0.523,0.065
t654,0.434,0.077
t655,0.317,0.093
t656,0.169,0.123
t657,0.04,0.203
t658,0,0.316
t659,0,0.348
t660,0,0.294
t661,0,0.241
t662,0,0.238
t663,0,0.251
t664,0,0.272
t665,0,0.278
t666,0,0.268
t667,0,0.27
t668,0,0.283
